ats,unique_slugs,source_files
join,24197,3
bamboohr,15601,9
workday,14652,18
icims,10687,8
greenhouse,10529,23
paylocity,10350,2
lever,5016,24
breezy,4794,6
jazzhr,4647,5
ashby,4461,22
workable,4424,11
personio,3288,5
recruitee,3033,9
smartrecruiters,2517,9
softgarden,2366,1
rippling,2320,7
zohorecruit,1778,6
teamtailor,1756,10
freshteam,1220,7
trakstar,839,8
successfactors,604,4
pinpoint,533,4
jobvite,516,4
gem,494,1
oracle,438,8
comeet,254,2
cornerstone,252,1
taleo,244,3
manatal,193,1
avature,131,2
eightfold,93,2
oorwin,83,1
keka,19,4
darwinbox,8,4
ripplehire,1,1
