slug,url,n_sources,sources
021-strategic,021-strategic.breezy.hr,1,Masterjx9-OpenPostings
1-grid,1-grid.breezy.hr,1,Masterjx9-OpenPostings
10-4-truck-recruiting,10-4-truck-recruiting.breezy.hr,1,kalil0321-ats-companies
1001,1001.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
10pearls,10pearls.breezy.hr,1,kalil0321-ats-companies
10percent,10percent.breezy.hr,1,Masterjx9-OpenPostings
11onze,11onze.breezy.hr,3,Masterjx9-OpenPostings;kalil0321-ats-companies;the-cockroaches-remote-jobs
11sigma,11sigma.breezy.hr,1,Masterjx9-OpenPostings
120water,120water.breezy.hr,1,Masterjx9-OpenPostings
1440-foods-manufacturing,1440-foods-manufacturing.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
1aes,1aes.breezy.hr,1,Masterjx9-OpenPostings
1kx,1kx.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
1pertinent,1pertinent.breezy.hr,1,Masterjx9-OpenPostings
1st-edge-llc,1st-edge-llc.breezy.hr,1,Masterjx9-OpenPostings
1stgenyale,1stgenyale.breezy.hr,1,Masterjx9-OpenPostings
20fathoms,20fathoms.breezy.hr,1,Masterjx9-OpenPostings
20four7va,20four7va.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
23globalmarketing,23globalmarketing.breezy.hr,1,Masterjx9-OpenPostings
24-hour-medical-staffing-services,24-hour-medical-staffing-services.breezy.hr,1,Masterjx9-OpenPostings
25madison-llc,25madison-llc.breezy.hr,1,Masterjx9-OpenPostings
26five,26five.breezy.hr,1,Masterjx9-OpenPostings
2degrees,2degrees.breezy.hr,1,Masterjx9-OpenPostings
2ulaundry,2ulaundry.breezy.hr,1,Masterjx9-OpenPostings
3-forks-services,3-forks-services.breezy.hr,1,Masterjx9-OpenPostings
3-mountains-plumbing,3-mountains-plumbing.breezy.hr,1,Masterjx9-OpenPostings
360-apartment-renovations,360-apartment-renovations.breezy.hr,1,Masterjx9-OpenPostings
360-digital-starters-gmbh,360-digital-starters-gmbh.breezy.hr,1,Masterjx9-OpenPostings
3705e415bcbe,3705e415bcbe.breezy.hr,1,Masterjx9-OpenPostings
3brasseurs,3brasseurs.breezy.hr,1,Masterjx9-OpenPostings
3dbio-therapeutics,3dbio-therapeutics.breezy.hr,1,Masterjx9-OpenPostings
3ex,3ex.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
401-auto-rv-group,401-auto-rv-group.breezy.hr,1,Masterjx9-OpenPostings
47-degrees,47-degrees.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
4media,4media.breezy.hr,1,Masterjx9-OpenPostings
4th-day-trucking,4th-day-trucking.breezy.hr,1,kalil0321-ats-companies
500chow,500chow.breezy.hr,1,Masterjx9-OpenPostings
6037,6037.breezy.hr,1,kalil0321-ats-companies
6k-inc,6k-inc.breezy.hr,1,Masterjx9-OpenPostings
72-degrees,72-degrees.breezy.hr,1,Masterjx9-OpenPostings
75f,75f.breezy.hr,2,Masterjx9-OpenPostings;ches-ctrl-cheddar
75f-apac,75f-apac.breezy.hr,1,Masterjx9-OpenPostings
7am-enfant-inc,7am-enfant-inc.breezy.hr,2,Masterjx9-OpenPostings;kalil0321-ats-companies
99-group,99-group.breezy.hr,1,Masterjx9-OpenPostings
