slug,url,n_sources,sources
10xgenomics,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
alnylam,,1,Masterjx9-OpenPostings
amdocs,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
americanfidelity,,1,Masterjx9-OpenPostings
anywhere,,1,Masterjx9-OpenPostings
app,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
app-eu,,1,Masterjx9-OpenPostings
app-gov,,1,Masterjx9-OpenPostings
appliedmaterials,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
arcadis,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
atb,,1,Masterjx9-OpenPostings
bayer,,1,kalil0321-ats-companies
bayer-sandbox,,1,Masterjx9-OpenPostings
bluecrabconsulting,,1,Masterjx9-OpenPostings
bms,,1,Masterjx9-OpenPostings
bms-dev-sandbox,,1,Masterjx9-OpenPostings
bnymellon,,1,Masterjx9-OpenPostings
bostonscientific,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
britishcouncil,,1,Masterjx9-OpenPostings
britishcouncil-sandbox,,1,Masterjx9-OpenPostings
caci,,1,kalil0321-ats-companies
ccep,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
citi,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
citigroup-qa-sandbox,,1,Masterjx9-OpenPostings
climate,,1,Masterjx9-OpenPostings
corteva,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
costar,,1,kalil0321-ats-companies
deere,,1,kalil0321-ats-companies
deloitte,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
dexcom,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
dolby,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
dsm,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
eaton,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
elcompanies,,1,kalil0321-ats-companies
ericsson,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
etihad,,1,Masterjx9-OpenPostings
faurecia,,1,kalil0321-ats-companies
fcx,,1,kalil0321-ats-companies
ford,,1,kalil0321-ats-companies
fortive,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
ftr,,1,kalil0321-ats-companies
globalfoundries,,1,kalil0321-ats-companies
gotinder,,1,kalil0321-ats-companies
grupobimbo,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
haleon,,1,kalil0321-ats-companies
hasbro,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
houstonisd,,1,kalil0321-ats-companies
hp,,1,Masterjx9-OpenPostings
hsbc,,1,kalil0321-ats-companies
infineon,,1,Masterjx9-OpenPostings
insight,,1,kalil0321-ats-companies
jhu,,1,kalil0321-ats-companies
johndeere,,1,Masterjx9-OpenPostings
juniper,,1,Masterjx9-OpenPostings
kering,,1,kalil0321-ats-companies
kraftheinz,,1,kalil0321-ats-companies
lamresearch,,1,kalil0321-ats-companies
libertymutual,,1,kalil0321-ats-companies
mercadolibre,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
micron,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
microsoft,,1,kalil0321-ats-companies
mlp,,1,kalil0321-ats-companies
mm-group,,1,kalil0321-ats-companies
morganstanley,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
mtsi-va,,1,kalil0321-ats-companies
netflix,,1,kalil0321-ats-companies
newyorklife,,1,kalil0321-ats-companies
ngc,,1,kalil0321-ats-companies
nttdata,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
nvidia,,1,kalil0321-ats-companies
paypal,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
premierhealth,,1,Masterjx9-OpenPostings
ptc,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
puertoricogov,,1,kalil0321-ats-companies
qualcomm,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
ralliant,,1,kalil0321-ats-companies
rotoplas,,1,Masterjx9-OpenPostings
slb,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
softtek,,1,kalil0321-ats-companies
starbucks,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
stmicroelectronics,,1,kalil0321-ats-companies
symetra,,1,kalil0321-ats-companies
tailoredbrands,,1,kalil0321-ats-companies
telekom-growthhub,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
trimble,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
trinet,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
twilio,,1,kalil0321-ats-companies
ukg,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
vale,,1,kalil0321-ats-companies
vialto,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
vodafone,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
whirlpool,,2,Masterjx9-OpenPostings;kalil0321-ats-companies
worley,,1,kalil0321-ats-companies
