slug,url,n_sources,sources
bun,bun.fa.em2.oraclecloud.com,1,kalil0321-ats-companies
cbct,cbct.fa.em2.oraclecloud.com,1,kalil0321-ats-companies
cbha,cbha.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
cbhm,cbhm.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
cbzp,cbzp.fa.ap1.oraclecloud.com,1,kalil0321-ats-companies
ccyj,ccyj.fa.us6.oraclecloud.com,1,Masterjx9-OpenPostings
cgs,cgs.fa.ap2.oraclecloud.com,1,kalil0321-ats-companies
cva,cva.fa.us1.oraclecloud.com,1,kalil0321-ats-companies
dfa,dfa.fa.us1.oraclecloud.com,1,kalil0321-ats-companies
don,don.fa.em2.oraclecloud.com,1,kalil0321-ats-companies
eabw,eabw.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebcs,ebcs.fa.em2.oraclecloud.com,1,kalil0321-ats-companies
ebez,ebez.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebfi,ebfi.fa.em2.oraclecloud.com,1,kalil0321-ats-companies
ebhu,ebhu.fa.us2.oraclecloud.com,1,Masterjx9-OpenPostings
ebhz,ebhz.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebpm,ebpm.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebqb,ebqb.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebrf,ebrf.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebtg,ebtg.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebtw,ebtw.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebuu,ebuu.fa.ap1.oraclecloud.com,2,Masterjx9-OpenPostings;kalil0321-ats-companies
ebuz,ebuz.fa.em2.oraclecloud.com,1,Masterjx9-OpenPostings
ebwb,ebwb.fa.us2.oraclecloud.com,2,Masterjx9-OpenPostings;kalil0321-ats-companies
ebwg,ebwg.fa.us2.oraclecloud.com,2,Masterjx9-OpenPostings;outscal-openjobs
ebwh,ebwh.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebwv,ebwv.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebxr,ebxr.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
ebxs,ebxs.fa.us2.oraclecloud.com,1,kalil0321-ats-companies
eccd,eccd.fa.em2.oraclecloud.com,1,kalil0321-ats-companies
