slug,company_name
1password,1Password
abridge,Abridge
alchemy,Alchemy
anyscale,Anyscale
apex-technology-inc,Apex
applied,Applied Intuition
ashby,Ashby
assembledhq,Assembled
astronomer,Astronomer
aureliussystems,Aurelius Systems
avoca,Avoca
base-power,Base Power
baseten,Baseten
bedrock-robotics,Bedrock Robotics
benchling,Benchling
bunkerhillhealth,Bunkerhill Health
cartesia,Cartesia
chainalysis-careers,Chainalysis
chainlink-labs,Chainlink Labs
character,Character
checkout.com,Checkout.com
chronospherejobs,Chronosphere
coderabbit,CodeRabbit
cognition,Cognition Labs
cohere,Cohere
confluent,Confluent
corgi,Corgi
crusoe,Crusoe
cursor,Cursor
d-matrix,D-Matrix
dave,Dave
decagon,Decagon
decart-ai,Decart.ai
deepgram,Deepgram
distyl,Distyl
docker,Docker
dyna-robotics,Dyna Robotics
elastix,Elastix AI
elevenlabs,ElevenLabs
ema,Ema
factory,Factory
flock safety,Flock Safety
gamma,Gamma
gigaml,Giga
hackerone,HackerOne
hadrian-automation,Hadrian
happyrobot.ai,HappyRobot
harmonic,Harmonic
harvey,Harvey
hims-and-hers,Hims and Hers
hinge-health,Hinge Health
hippocratic ai,Hippocratic AI
ideogram,Ideogram
kalshi,Kalshi
kong,Kong
kraken.com,Kraken
krea,Krea
kustomer,Kustomer
lambda,Lambda
langchain,LangChain
lassie,Lassie
linear,Linear
liquid-ai,Liquid AI
lovable,Lovable
mach,Mach
magic.dev,Magic.dev
mapbox,Mapbox
mercor,Mercor
modal,Modal
moderntreasury,Modern Treasury
newtonx,NewtonX
niantic-spatial,Niantic Spatial
notion,Notion
oneapp,OnePay
openai,OpenAI
openevidence,OpenEvidence
openrouter,OpenRouter
opensea,OpenSea
owner,Owner
patreon,Patreon
periodic-labs,Periodic Labs
perplexity,Perplexity AI
persona,Persona
phantom,Phantom
physicalintelligence,Physical Intelligence
plaid,Plaid
polygon-labs,Polygon Labs
polymarket,Polymarket
poolside,Poolside
quora,Quora
ramp,Ramp
reflectionai,Reflection AI
render,Render
replit,Replit
runetech,Rune Technologies
runway-ml,Runway
sabi,Sabi
saronic,Saronic
scribdinc,Scribd
sentry,Sentry
sesame,Sesame
sierra,Sierra
skydio,Skydio
snowflake,Snowflake
strava,Strava
substack,Substack
sunday,Sunday
supabase,Supabase
superhuman platform inc,Superhuman
thebotcompany,The Bot Company
tools for humanity,World
turing,Turing
uipath,UiPath
vanta,Vanta
withflex,Flex
ycombinator,Y Combinator
zapier,Zapier
zip,Zip
