slug,company_name
abridge,Abridge
abstraction.games,Abstraction Games
aerovect,Aerovect
agavegames,Agave Games
aidkit,AidKit
airwallex,AirWallex
aiwyn,Aiwyn
andela,Andela
april,April
arb-interactive,ARB Interactive
argus,Argus
arketa,Arketa
armory,Armory
artisan,Artisan
ashby,Ashby
assured,Assured
astra,Astra
astrocade,Astrocade
atlas,Atlas
attio,Attio
authzed,Authzed
aviator,Aviator
badrobotgames,bad robot games
base-power,Base Power
baseten,Baseten
bayesianhealth,Bayesian Health
believer,The Believer Company

benchling,Benchling
beyondsports,Beyond Sports
bloxd,Bloxd
bold,BOLD
braintrust,Braintrust
cambium,Cambium
campfire,Campfire
cantina,Cantina
cape,Cape
captions,Captions
casium,Casium
character,Character.AI
charthop,ChartHop
circuithub,CircuitHub
clerk,Clerk
clickup,ClickUp
closingtheory,Closing Theory
codametrix,CodaMetrix
cointracker,CoinTracker
curri,Curri
cursor,Cursor
dash0,Dash0
datacurve,Datacurve
decagon,Decagon
deel,deel.
deepgram,Deepgram
dialogueai,Dialogue AI
doodles,Doodles
elevenlabs,ElevenLabs
ello,Ello
ema,EMA
envoy,Envoy
favorited,favorited
felicity,Felicity
felix,Felix
fiddler-ai,Fiddler AI
fieldguide,Fieldguide
filmhub,Filmhub
finch,Finch
firecrawl,Firecrawl
flawless,Flawless
fleetworks,FleetWorks
forge,Forge
freed,Freed
freshpaint,Freshpaint
fs-studio,FS Studio
furtherai,Further AI
gamechanger,GameChanger
gardens,Gardens Interactive
givebutter,Givebutter
granted,Granted
gt-hq,GT HQ
guild,Guild
hackerone,HackerOne
harmonic,Harmonic
harvey,Harvey
hatch,Hatch
hawkeyeinnovations,Hawkeye Innovations
haydenai,Hayden AI
hedra,Hedra
helpscout,Help Scout
higharc,Higharc
hightouch,Hightouch
hyperhug,Hyperhug
ideogram,ideogram
idler,Idler
illumio,illumio
joyteractive,Joyteractive
kalshi,Kalshi
kayak,KAYAK
keycard-labs,Keycard Labs
lambda,Lambda
langchain,LangChain
lilt,Lilt
linear,Linear
liven,Liven
lorikeet,Lorikeet
lovable,Lovable
lumilens,Lumilens
luminary,Luminary
magicschool,Magic School
mapbox,Mapbox
marshmallow,Marshmallow
masabi,Masabi
maticrobots,Matic Robots
menlosecurity,Menlo Security Inc.
mentava,Mentava
mercor,Mercor
mirage,Mirage
moderntreasury,Modern Treasury
mona,Mona
monarchmoney,Monarch Money
monsters,Monsters
moonshot-ai,Moonshot AI
multiverse,multiverse
neuralconcept,neural concept
numeral,Numeral 
ocp,Omni Creator Products
onebrief,Onebrief
opensea,OpenSea
outpost,Outpost
owkin,Owkin
pahdo,Pahdo Labs
parity,parity
patreon,Patreon
peakmetrics,Peakmetrics
periodic-labs,Periodic Labs
permitflow,PermitFlow
plaid,Plaid 
plain,Plain
planera,Planera
playgig,PlayGig
playground,playground
pocket worlds,Pocket Worlds
polygon-labs,Polygon Labs
posthog,PostHog
pragmaplatform,Pragma
prime,PRIME
profound,Profound
proofofplay,Proof of Play
propel,Propel
protegrity,Protegrity
proxima,Proxima
quora,quora
qventus,Quentus
rain,Rain
raindrop,Raindrop
ramp,Ramp
readme,ReadMe
realitydefender,Reality Defender
red6,Red 6
reducto,Reducto
reedsy,Reedsy
reflectionai,Reflection AI
regressiongg,Regression Games
restream,ReStream
rocketsciencegg,Rocket Science

runway,Runway
sahara,Sahara
sandboxaq,SandboxAQ
sardine,Sardine
seconddinner,Second Dinner
semgrep,Semgrep
seneca,Seneca
seriesai,series ai
serval,Serval
sesame,Sesame
sgnlai,sgnl.ai
sierra,Sierra
sift,SIFT
simpleclosure,SimpleClosure
skydio,Skydio
sleeper,Sleeper
snowflake,Snowflake
solace,Solace
sorare,Sorare
speckle,Speckle
spellbrush,Spellbrush
stand,Stand
starbridge,Starbridge
startplaying,StartPlaying
stash,Stash
stealth-startup,Stealth Startup
strella,Strella
substack,Substack
sully-ai,Sully.ai
supabase,Supabase
supercell,supercell
superduper,super duper
surveymonkey,Survey Monkey
sweatpals,SweatPals
synthesia,Synthesia
tapblaze,tapblaze 
tavus,Tavus
tempo,tempo
tenjin,Tenjin
tennr,Tennr
tensorwave,TensorWave
thatgamecompany,Thatgamecompany
the-global-talent-co,The Global Talent Co.
threev.ai,ThreeV Technologies  Inc.
transfr,Transfr
treasure,Treasure
trilitech,trilitech
trove,Trove
trust-wallet,Trust Wallet
tycho-ai,Tycho.AI
universe-group,Universe Group
valon,Valon
vanta,Vanta
verge-genomics,Verge Genomics
voldex,Voldex
welltech,Welltech
windranger,Windranger
wistia,wistia
worlds,Worlds
yellow3d,Yellow 3D
yendo,Yendo
yubo,yubo
zapier,Zapier
