slug,company_name
a,A-Team
acceldata,AccelData
accurate,Accurate
actian,Actian
aeratechnology,Aera Technology
aidash,AiDash
aifund,AIFund
airshipsyndicate,Airship Syndicate
aledade,Aledade
alictus,Alictus
amanotes,Amanotes
analogfolk,AnalogFolk
anavationllc,Anavation
animocabrands,Animoca Brands
aofl,Age of Learning
apollographql,Apollo
applike,Applike
appzen,appzen
arootah,Arootah
asobostudio,Asobo Studio
athena-education,Athena Education
attentive,attentive
avalanchestudios,Avalanche Studios Group
axiomzen,Axiom Zen
azul,Azul
balbix,Balbix
barbaricum,barbaricum
bazaarvoice,Bazaar Voice
beghouconsulting,beghou consulting
bentoboxent,Bento Box Entertainment LLC
beyond-creative,Beyond Creative
bhvr,Behaviour Interactive
biggergames,Bigger Games
bigtime,Big time 
binance,binance
blackbirdinteractive,Blackbird Interactive
blackshark,Blackshark
blinkux,Blink UX
blur,Blur Studio
bold-orange,Bold Orange
bonfirestudios,Bonfire Studios
bounteous,bounteous
branch.gg,Branch
brightedge,Bright Edge
brightmachines,Bright Machines
brillio-2,Brillio
cambiumnetworks,Cambium Networks
cirrus,cirrus logic
cision,cision
clari,Clari
clevertap,clevertap
coda,Coda
codecombat,CodeCombat
codewaystudios,Codeway Studios
cognite,Cognite
connext-network,Everclear Foundation
convai-technologies-inc,Convai Technologies
conversenow,Converse.AI
coupa,Coupa
craft,Craft
creadits,Creadits
cred,Cred
crytek,Crytek
cyara,cyara
cypher-games,Cypher games
czinger,czinger
dailywire,Daily Wire
dazn,DAZN
demiurgestudios,Demiurge Studios
disruptivegames,Disruptive Games
dnb,dun bradstreet
doola,Doola
doxel,Doxel
dragonarmy,Dragon Army
dreamgames,Dream Games
dreamsports,Dream Sports
drivemode,Drive mode
drivetrain,Drivetrain
dsfishlabs,Deep Silver Fishlabs
dynastystudios,Dynasty Studios
easybrain,Easybrain
echtra,Echtra Games
economicmodeling,Lightcast
egen,Egen
elodiegames,Elodie Games
employ,Employ
eneba,Eneba Games
entrata,entrata
epifi,Fi
equativ,Equativ
esper,Esper
explodingkittens,Exploding Kittens  Inc.
expopulus,Ex Populus
extremenetworks,Extreme Networks
f16y,fabric
fairmatic,fairmatic
fanatee,Fanatee
fanatics,Fanatics
fantasy,Fantasy
fathomradiant,fathom radiant
feldinc,Feld Entertainment
filevine,Filevine
finch,Finch
findem,Findem
flawlessai,FlawlessAi
fliff,Fliff
flipfit,flip fit
flowlife,Flow
fluence,fluence
frontier,Frontier Developments
fullstacklabs,Fullstack Labs
fyusion,Fyusion
gametime,Gametime
golfscopeinc,golfscopeinc
gotogroup,GoTo Group
granicus,Granicus
hdworks,Head Digital Works
hhaexchange,HHA Exchange
highpointaerotech,Highpoint tech
highspot,Highspot
hingehealth,hinge health
hirezstudios,Hi-Rez Studios
hiver,hiver
hologram,Hologram Labs
hopelab,Hope Lab
horizon,Horizon
hotstar,Hotstar
icertis,icertis
illumination,Illumination
illumix,Illumix
imaginitesoft,Imaginite soft studios
immutable,Immutable
improbable,Improbable
inflexion,Inflexion games
inkitt,Inkittt
innogames,InnoGames
instrument,Instrument
instrumentl,Instrumental
ion,Ion
ionicpartners,economic partners
jagex,Jagex
jamcity,Jam City
jar-app,Jar app
jellysmack,Jelly Smack
jiostar,JioStar
jmawireless,JMA
joinzoe,Zoe
jumpcloud,JumpCloud
juno,juno
kabam,Kabam
kapwing,Kapwing
kolibrigames,Kolibri Games
koombea,Koombea
kwalee,Kwalee
kyruushealth,Kyruus Health
larian,Larian Studios
legacylabs,Legacy Labs
levelai,level ai
life,lifechruh
limitbreak,limit break
loaded,Loaded
loftorbital,Loft Orbital
loopgames,Loop games 
lumapictures,Luma Pictures
lunchboxentertainment,Lunchbox Entertainment
luni,Luni
m33,M33
madbox,Madbox
madisonlogic,Madison Logic
magicgames,Magic games
magnopus,magnopus
mashgin,Mashgin
matchgroup,Match Group
mediaocean,Media ocean
mendix,Mendix
metatheory,Meta Theory 
metlife,MetLife
mindtickle,Mindtickle
mineral,Mineral
minted,Minted
mips,mips
mistplay,Mistplay
modulate,Modulate
mountaintop,Mountain Top 
nahc,Nahc.io
neednova,Nova Credit
netomi,Netomi
nielsen,Nielsen Holdings
ninjavan,NinjaVan
nisum,nisum
nium,Nium
noice.com,Noice
normalyze,Normalyze
observeai,observe ai
octopus,Octopus
oliverwyman,Oliver Wyman
onehouse,Onehouse
oni,oni
opengov,opengov
opinov8,opinov 8
pachama,Pachama
paradoxum-gg,Paradoxum Games
parallelwireless,Parallel Wireless
