company,ats,slug,endpoint,platform_label,careers_url,file
11x,,11x-ai,,Gem,https://jobs.gem.com/11x-ai,11x.md
1Password,ashby,1password,api.ashbyhq.com/posting-api/job-board/1password,Ashby,https://1password.com/careers,1password.md
Abbott,phenom,,,Phenom,https://www.jobs.abbott/us/en/search-results,abbott.md
Abnormal Security,greenhouse,abnormalsecurity,boards-api.greenhouse.io/v1/boards/abnormalsecurity,Greenhouse,https://abnormal.ai/careers/open-roles,abnormal_security.md
Abridge,ashby,Abridge,api.ashbyhq.com/posting-api/job-board/Abridge,Ashby,https://abridge.com/careers,abridge.md
Accenture,,,,,,accenture.md
"Adept (adept.ai) — DEFERRED, no scrapeable inventory",,,,widget,https://www.adept.ai/about-careers/,adept_ai_skipped.md
Adyen,greenhouse,adyen,boards-api.greenhouse.io/v1/boards/adyen,Greenhouse,https://careers.adyen.com/vacancies?locale=en,adyen.md
Airwallex,,,,,https://careers.airwallex.com/jobs/?order=newest,airwallex.md
Alibaba,,,,,,alibaba.md
Allstate,workday,allstate,allstate.wd5.myworkdayjobs.com,workday,https://www.allstate.jobs/job-search-results/,allstate.md
Ally,avature,ally,ally.avature.net,Avature,https://ally.avature.net/careers,ally.md
Alto,workday,alto,alto.wd1.myworkdayjobs.com,workday,https://alto.wd1.myworkdayjobs.com/FuzeHealthCareerSite,alto.md
Anduril,greenhouse,andurilindustries,boards-api.greenhouse.io/v1/boards/andurilindustries,greenhouse,https://www.anduril.com/careers,anduril.md
Anyscale,ashby,anyscale,api.ashbyhq.com/posting-api/job-board/anyscale,Ashby,https://www.anyscale.com/careers,anyscale.md
Apex Fintech Solutions,,jobs-production,,Engineer,https://careers.apexfintechsolutions.com/,apex_fintech_solutions.md
Arm,talentbrew,,,TalentBrew,https://careers.arm.com/search-jobs,arm.md
ASML,,,,Next,https://www.asml.com/en/careers/find-your-job,asml.md
Assembled,ashby,assembledhq,jobs.ashbyhq.com/assembledhq,Ashby,https://www.assembled.com/careers-at-assembled,assembled.md
AssemblyAI,greenhouse,assemblyai,job-boards.greenhouse.io/assemblyai,Greenhouse,https://www.assemblyai.com/careers,assemblyai.md
Astranis,greenhouse,astranis,job-boards.greenhouse.io/astranis,Greenhouse,https://www.astranis.com/careers,astranis.md
