company_name,slug,url
20four7va,20four7va,https://20four7va.breezy.hr/
75f,75f,https://75f.breezy.hr/
75f-apac,75f-apac,https://75f-apac.breezy.hr/
99-group,99-group,https://99-group.breezy.hr/
aarki,aarki,https://aarki.breezy.hr/
accelerated-growth-studio,accelerated-growth-studio,https://accelerated-growth-studio.breezy.hr/
accelone,accelone,https://accelone.breezy.hr/
accordus,accordus,https://accordus.breezy.hr/
accrete-ai,accrete-ai,https://accrete-ai.breezy.hr/
adnet-accountnet-inc,adnet-accountnet-inc,https://adnet-accountnet-inc.breezy.hr/
advantia-health,advantia-health,https://advantia-health.breezy.hr/
aeroseal,aeroseal,https://aeroseal.breezy.hr/
af,af,https://af.breezy.hr/
agbo,agbo,https://agbo.breezy.hr/
agile-cloud-consulting,agile-cloud-consulting,https://agile-cloud-consulting.breezy.hr/
alabaster-city-schools,alabaster-city-schools,https://alabaster-city-schools.breezy.hr/
alaya,alaya,https://alaya.breezy.hr/
aligned-modern-health,aligned-modern-health,https://aligned-modern-health.breezy.hr/
all-about-kids,all-about-kids,https://all-about-kids.breezy.hr/
almentor,almentor,https://almentor.breezy.hr/
altgen-join-our-team,altgen-join-our-team,https://altgen-join-our-team.breezy.hr/
alt-legal,alt-legal,https://alt-legal.breezy.hr/
amazingtalker,amazingtalker,https://amazingtalker.breezy.hr/
american-air-conditioning-heating,american-air-conditioning-heating,https://american-air-conditioning-heating.breezy.hr/
anghami,anghami,https://anghami.breezy.hr/
apollo-answering-service,apollo-answering-service,https://apollo-answering-service.breezy.hr/
appiphony,appiphony,https://appiphony.breezy.hr/
apyhub,apyhub,https://apyhub.breezy.hr/
arborbridge,arborbridge,https://arborbridge.breezy.hr/
archsoftware,archsoftware,https://archsoftware.breezy.hr/
arch-systems,arch-systems,https://arch-systems.breezy.hr/
arduino,arduino,https://arduino.breezy.hr/
arrcc,arrcc,https://arrcc.breezy.hr/
arts-science-undergraduate-society,arts-science-undergraduate-society,https://arts-science-undergraduate-society.breezy.hr/
