company_name,slug,url
purpledrive,purpledrive,https://purpledrive.oorwin.com/careers
unicom,unicom,https://unicom.oorwin.com/careers
absiusa,absiusa,https://absiusa.oorwin.com/careers
dtsit,dtsit,https://dtsit.oorwin.com/careers
paramount,paramount,https://paramount.oorwin.com/careers
swift,swift,https://swift.oorwin.com/careers
demosg,demosg,https://demosg.oorwin.com/careers
tekonesolutions,tekonesolutions,https://tekonesolutions.oorwin.com/careers
pinnacleall,pinnacleall,https://pinnacleall.oorwin.com/careers
demoind,demoind,https://demoind.oorwin.com/careers
itechenterprise,itechenterprise,https://itechenterprise.oorwin.com/careers
idyllicservices,idyllicservices,https://idyllicservices.oorwin.com/careers
peoplelogic,peoplelogic,https://peoplelogic.oorwin.com/careers
gbitinc,gbitinc,https://gbitinc.oorwin.com/careers
quantomtech,quantomtech,https://quantomtech.oorwin.com/careers
chicagofinancial,chicagofinancial,https://chicagofinancial.oorwin.com/careers
cloudconsultingservicesinc,cloudconsultingservicesinc,https://cloudconsultingservicesinc.oorwin.com/careers
softcom,softcom,https://softcom.oorwin.com/careers
droisys,droisys,https://droisys.oorwin.com/careers
droisysind,droisysind,https://droisysind.oorwin.com/careers
fastlinejobs,fastlinejobs,https://fastlinejobs.oorwin.com/careers
reedrc,reedrc,https://reedrc.oorwin.com/careers
guruschools,guruschools,https://guruschools.oorwin.com/careers
siraconsultinginc,siraconsultinginc,https://siraconsultinginc.oorwin.com/careers
eitacies,eitacies,https://eitacies.oorwin.com/careers
khpsolutions,khpsolutions,https://khpsolutions.oorwin.com/careers
mitiweb,mitiweb,https://mitiweb.oorwin.com/careers
rsatechgroup,rsatechgroup,https://rsatechgroup.oorwin.com/careers
volublesystems,volublesystems,https://volublesystems.oorwin.com/careers
scig,scig,https://scig.oorwin.com/careers
synergyresource,synergyresource,https://synergyresource.oorwin.com/careers
vegaintellisoft,vegaintellisoft,https://vegaintellisoft.oorwin.com/careers
anantaresource,anantaresource,https://anantaresource.oorwin.com/careers
mygoconsulting,mygoconsulting,https://mygoconsulting.oorwin.com/careers
alliance,alliance,https://alliance.oorwin.com/careers
asiapower,asiapower,https://asiapower.oorwin.com/careers
gallegasoft,gallegasoft,https://gallegasoft.oorwin.com/careers
technosphere,technosphere,https://technosphere.oorwin.com/careers
zenithcad,zenithcad,https://zenithcad.oorwin.com/careers
accel,accel,https://accel.oorwin.com/careers
apnahr,apnahr,https://apnahr.oorwin.com/careers
dhanutek,dhanutek,https://dhanutek.oorwin.com/careers
nuvento,nuvento,https://nuvento.oorwin.com/careers
purpledriveindia,purpledriveindia,https://purpledriveindia.oorwin.com/careers
rddigitalsolutions,rddigitalsolutions,https://rddigitalsolutions.oorwin.com/careers
firmansolutions,firmansolutions,https://firmansolutions.oorwin.com/careers
dminds,dminds,https://dminds.oorwin.com/careers
eappstech,eappstech,https://eappstech.oorwin.com/careers
flairsoft,flairsoft,https://flairsoft.oorwin.com/careers
triconitsolutions,triconitsolutions,https://triconitsolutions.oorwin.com/careers
datamanusa,datamanusa,https://datamanusa.oorwin.com/careers
oorwincrm,oorwincrm,https://oorwincrm.oorwin.com/careers
asqrdconsulting,asqrdconsulting,https://asqrdconsulting.oorwin.com/careers
intuitesllc,intuitesllc,https://intuitesllc.oorwin.com/careers
orison,orison,https://orison.oorwin.com/careers
regencyhealthcare,regencyhealthcare,https://regencyhealthcare.oorwin.com/careers
tekpyramids,tekpyramids,https://tekpyramids.oorwin.com/careers
virtueserve,virtueserve,https://virtueserve.oorwin.com/careers
parsetek,parsetek,https://parsetek.oorwin.com/careers
zdaya,zdaya,https://zdaya.oorwin.com/careers
entelli,entelli,https://entelli.oorwin.com/careers
fastsearch1,fastsearch1,https://fastsearch1.oorwin.com/careers
mechispike,mechispike,https://mechispike.oorwin.com/careers
pddn,pddn,https://pddn.oorwin.com/careers
datasystems,datasystems,https://datasystems.oorwin.com/careers
scrolltabus,scrolltabus,https://scrolltabus.oorwin.com/careers
selectionssourcing,selectionssourcing,https://selectionssourcing.oorwin.com/careers
trans,trans,https://trans.oorwin.com/careers
krasanconsulting,krasanconsulting,https://krasanconsulting.oorwin.com/careers
infosmarttech,infosmarttech,https://infosmarttech.oorwin.com/careers
themesoftinc,themesoftinc,https://themesoftinc.oorwin.com/careers
hire11,hire11,https://hire11.oorwin.com/careers
maddisoft,maddisoft,https://maddisoft.oorwin.com/careers
r2techcorp,r2techcorp,https://r2techcorp.oorwin.com/careers
tachyon,tachyon,https://tachyon.oorwin.com/careers
etek,etek,https://etek.oorwin.com/careers
ietcs,ietcs,https://ietcs.oorwin.com/careers
meostaffing,meostaffing,https://meostaffing.oorwin.com/careers
vitastaconsulting,vitastaconsulting,https://vitastaconsulting.oorwin.com/careers
gacsolutions,gacsolutions,https://gacsolutions.oorwin.com/careers
demous,demous,https://demous.oorwin.com/careers
hrpundits,hrpundits,https://hrpundits.oorwin.com/careers
sunrise,sunrise,https://sunrise.oorwin.com/careers
