company_name,slug,url
Unknown Company,epwk,https://epwk.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
International Organization for Migration (10000000),fa-evlj-saasfaprod1,https://fa-evlj-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
USCCB,eipn,https://eipn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
United Nations Development Programme,estm,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Own Retail,fa-exdu-saasfaprod1,https://fa-exdu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Lorain County Community College,ccyj,https://ccyj.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Cetera Financial Group Inc,ebhu,https://ebhu.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Westpac Banking Corporation,ebuu,https://ebuu.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
IT and Facilities Management,ebuz,https://ebuz.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
DIRECT SALES  US,ebwb,https://ebwb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
19109 SPEEDPAY RD,ebwg,https://ebwg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Tradeweb Europe Limited,ecnf,https://ecnf.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
The Clubs of Kingwood,ecwl,https://ecwl.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
118-WW TMG MFG OPS,edbz,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
GCI Communication Corp,edqv,https://edqv.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
NWE Region,edzt,https://edzt.fa.em4.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Diebold Nixdorf  Incorporated,eeug,https://eeug.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Hearst Magazines,eevd,https://eevd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Sundt Enterprise,eewl,https://eewl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
CA,eezy,https://eezy.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Hoffman Construction Co of America,efsp,https://efsp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Specialized Rehabilitation Hospital BU,eftr,https://eftr.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Penn National Insurance,efyb,https://efyb.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Masimo Medical Technologies (Malaysia) Sdn. Bhd.,egcu,https://egcu.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
LOMA LINDA UNIVERSITY HEALTH,egln,https://egln.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Vertiv Group Corporation,egup,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Stores,egvv,https://egvv.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Camden Development  Inc.,ehap,https://ehap.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Camden Development  Inc.,ehap-dev5,https://ehap-dev5.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
The Peninsular and Oriental Steam Navigation Company,ehpv,https://ehpv.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
SBG,ehtl,https://ehtl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Ithaca College,ehwy,https://ehwy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Sally Beauty Holdings  LLC,eigx,https://eigx.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Mount Sinai Health System,ejis,https://ejis.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
TTX Company,ejjc,https://ejjc.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
West,ejki,https://ejki.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
GHD,ejov,https://ejov.fa.ca2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Learning Care Group  Inc.,ejql,https://ejql.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Marriott Hotels & Resorts,ejwl,https://ejwl.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Securitas US Business Unit,ekaw,https://ekaw.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Indiana University Health System,ekcm,https://ekcm.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
000098_Americas Platform,ekez,https://ekez.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Carmeuse Lime & Stone Inc,ekiz,https://ekiz.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Alliance for A Green Revolution in Africa Limited,ekjd,https://ekjd.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Ask Athena,ekkf,https://ekkf.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
CSS,eklm,https://eklm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
USA,ekxm,https://ekxm.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Cormac,ekzo,https://ekzo.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
EXP Services Inc.,elcn,https://elcn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Spire Healthcare Limited,elij,https://elij.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Tiffany & Co.,eljs,https://eljs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
District of Columbia Water and Sewer Authority,elxb,https://elxb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
London Borough of Newham,elyq,https://elyq.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Edgenta FIRST Sdn Bhd,enpf,https://enpf.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Board of Education of Charles County,enxp,https://enxp.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Heriot-Watt University,enzj,https://enzj.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
TCH Medical Center,eohh,https://eohh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Agricultural Ingredients N. America,eour,https://eour.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Airtel Africa,erey,https://erey.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
TPI Composites Inc,fa-elwc-saasfaprod1,https://fa-elwc-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
District Attorney New York County,fa-elzs-saasfaprod1,https://fa-elzs-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Al Bardi Paper Mill,fa-emmq-saasfaprod1,https://fa-emmq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Tauck  Inc.,fa-emxf-saasfaprod1,https://fa-emxf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Bank of Abyssinia,fa-enhf-saasfaprod1,https://fa-enhf-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
107632 Capital Markets Operations,fa-enor-saasfaprod1,https://fa-enor-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
