company_name,slug,url
bioscientia,bioscientia,https://bioscientia.softgarden.io/vacancies
thales,thales,https://thales.softgarden.io/vacancies
segebergerkliniken12,segebergerkliniken12,https://segebergerkliniken12.softgarden.io/vacancies
eltelnetworks,eltelnetworks,https://eltelnetworks.softgarden.io/vacancies
grohe,grohe,https://grohe.softgarden.io/vacancies
gesundheitnord1,gesundheitnord1,https://gesundheitnord1.softgarden.io/vacancies
buerokompetenz,buerokompetenz,https://buerokompetenz.softgarden.io/vacancies
degraf,degraf,https://degraf.softgarden.io/vacancies
connect2,connect2,https://connect2.softgarden.io/vacancies
libri,libri,https://libri.softgarden.io/vacancies
hardyschmitzgmbh,hardyschmitzgmbh,https://hardyschmitzgmbh.softgarden.io/vacancies
prowerb,prowerb,https://prowerb.softgarden.io/vacancies
controlexpert,controlexpert,https://controlexpert.softgarden.io/vacancies
vitroconnect,vitroconnect,https://vitroconnect.softgarden.io/vacancies
gamomat,gamomat,https://gamomat.softgarden.io/vacancies
cemo,cemo,https://cemo.softgarden.io/vacancies
kade,kade,https://kade.softgarden.io/vacancies
tapde,tapde,https://tapde.softgarden.io/vacancies
hamacher,hamacher,https://hamacher.softgarden.io/vacancies
schattdecor,schattdecor,https://schattdecor.softgarden.io/vacancies
sanit,sanit,https://sanit.softgarden.io/vacancies
akkufischer,akkufischer,https://akkufischer.softgarden.io/vacancies
juris,juris,https://juris.softgarden.io/vacancies
thyssengas,thyssengas,https://thyssengas.softgarden.io/vacancies
ksab,ksab,https://ksab.softgarden.io/vacancies
betasystems,betasystems,https://betasystems.softgarden.io/vacancies
wentland,wentland,https://wentland.softgarden.io/vacancies
rhiem,rhiem,https://rhiem.softgarden.io/vacancies
tanquid,tanquid,https://tanquid.softgarden.io/vacancies
tbwa,tbwa,https://tbwa.softgarden.io/vacancies
chiffre,chiffre,https://chiffre.softgarden.io/vacancies
suffel,suffel,https://suffel.softgarden.io/vacancies
heumannpharmagmbhcogenericakg,heumannpharmagmbhcogenericakg,https://heumannpharmagmbhcogenericakg.softgarden.io/vacancies
sandboxvrnorddeutschland,sandboxvrnorddeutschland,https://sandboxvrnorddeutschland.softgarden.io/vacancies
stanna,stanna,https://stanna.softgarden.io/vacancies
roesrath,roesrath,https://roesrath.softgarden.io/vacancies
buildyourlifeatresinex,buildyourlifeatresinex,https://buildyourlifeatresinex.softgarden.io/vacancies
mentor,mentor,https://mentor.softgarden.io/vacancies
neodigital,neodigital,https://neodigital.softgarden.io/vacancies
