company,ats,slug
adobe,workday,adobe
amazon,custom/own-domain,
apple,custom/own-domain,
arcesium,custom/own-domain,
atlassian,custom/own-domain,
browserstack,workday,browserstack
cars24,smartrecruiters,cars24
chargebee,custom/own-domain,
clevertap,kula,clevertap
cred,custom/own-domain,
delhivery,custom/own-domain,
dream11,lever,dreamsports
flipkart,turbohire,flipkart
freshworks,smartrecruiters,freshworks
google,custom/own-domain,
groww,greenhouse,groww
inmobi,greenhouse,inmobi
intuit,custom/own-domain,
lenskart,ainterviews_recruitee,lenskart_ho
meesho,lever,meesho
meta,custom/own-domain,
microsoft,custom/own-domain,
moengage,trakstar,moengage
myntra,custom/own-domain,
nobroker,custom/own-domain,
nvidia,workday,nvidia
nykaa,custom/own-domain,
ola,custom/own-domain,
oracle,custom/own-domain,
paypal,workday,paypal
paytm,custom/own-domain,
phonepe,greenhouse,phonepe
pine-labs,custom/own-domain,
policybazaar,custom/own-domain,
postman,greenhouse,postman
practo,custom/own-domain,
razorpay,greenhouse,razorpaysoftwareprivatelimited
salesforce,workday,salesforce
sap-labs,custom/own-domain,
servicenow,custom/own-domain,
sharechat,mynexthire,sharechat
stripe,greenhouse,stripe
swiggy,mynexthire,swiggy
uber,custom/own-domain,
udaan,custom/own-domain,
unacademy,smartrecruiters,unacademy
wingify,keka,wingify
yellow-ai,custom/own-domain,
zerodha,custom/own-domain,
zoho,custom/own-domain,
zomato,zohorecruit,eternal
