slug,company
365scores,365Scores
8fig,8fig
ACS,ACS Motion Control
Aidoc,Aidoc
Cellebrite,Cellebrite
Ceragon,Ceragon Networks
Claroty,Claroty
Orpak,Orpak Systems
SolarEdge,SolarEdge Technologies
Surecomp,Surecomp
agora,Agora
aitechsystems,Aitech
aka_food,AKA FOODS
alice,ActiveFence
altair_semiconductor,Altair
anchorfintech,Anchor
aquasec,Aqua Security
arpeely,Arpeely
atera,Atera Networks
biocatch,BioCatch
birdaero,BIRD Aerosystems
brandshield,BrandShield
cardosystems,Cardo Systems
ceva,CEVA
chargeflow,Chargeflow
checkmarx,Checkmarx
clinch,Clinch
cognyte,Cognyte
coralogix,Coralogix
crossriver,Cross River Technologies
cycode,Cycode
cymotive,CYMOTIVE Technologies
cynet,Cynet
daisy,Daisy
dealhub,DealHub
driivz,Driivz
drivenets,DriveNets
eitanmedical,Eitan Medical
enercon,Enercon
exodigo,Exodigo
fetcherr,Fetcherr
final,Final
fullpath,FullPath
gett,Gett
gilat,Gilat Satellite Networks
gk8bygalaxy,GK8
global-e,Global-e
guardio,Guardio
holisto,Holisto
imagen-ai,Imagen
innoviz,Innoviz Technologies
ionix,IONIX
island,Island
jifiti,Jifiti
justt,Justt
kaltura,Kaltura
landacorp,Landa Digital Printing
legitsecurity.com,Legit Security
liveu,LiveU
lsports,LSports
lumenis,Lumenis
lusha,Lusha
mdclone,MDClone
moonactive,Moon Active
mprest,mPrest
netafim,Netafim
nextsilicon,NextSilicon
novidea,Novidea Software
okoora,Okoora
onezerobank,ONE ZERO Digital Bank
optibus,Optibus
panaya,Panaya
pentera,Pentera
percepto,Percepto
personetics,Personetics Technologies
plainid,PlainID
plus500,Plus500
prismaphotonics,Prisma Photonics
rapyd,Rapyd Financial Network
ree,REE Automotive
retym,Retym
risecodes,Rise
riverside-fm,Riverside.fm
scylladb,ScyllaDB
shopic,Shopic
silverfort,Silverfort
skai,Skai
sodastream,SodaStream
start.io,Start.io
superplay,SuperPlay
tastewise,Tastewise
thetaray,ThetaRay
tikalk,Tikal
toka,Toka
trigo,Trigo
upstream,Upstream Security
vastdata,VAST Data
vectoriousmedtech,Vectorious Medical Technologies
viber,Viber
waterfall-security,Waterfall Security Solutions
weski,WeTrip
wiliot,Wiliot
windward,Windward
wsc-sports,WSC Sports Technologies
xtend,XTEND
zeronetworks,Zero Networks
