company_name,detected_ats,slug_used,jobs_found,careers_url,probe_time_ms,status
Razorpay,freshteam,razorpay,-1,https://razorpay.freshteam.com/jobs,2382,found
PhonePe,greenhouse,phonepe,70,https://job-boards.greenhouse.io/phonepe,2824,found
Juspay,freshteam,juspay,-1,https://juspay.freshteam.com/jobs,3673,found
Cashfree Payments,freshteam,cashfree-payments,-1,https://cashfree-payments.freshteam.com/jobs,4269,found
Setu,freshteam,setu,-1,https://setu.freshteam.com/jobs,5082,found
BharatPe,freshteam,bharatpe,-1,https://bharatpe.freshteam.com/jobs,6548,found
Paytm,lever,paytm,176,https://jobs.lever.co/paytm,8675,found
CRED,lever,cred,6,https://jobs.lever.co/cred,6785,found
Zerodha,freshteam,zerodha,-1,https://zerodha.freshteam.com/jobs,7963,found
Groww,greenhouse,groww,14,https://job-boards.greenhouse.io/groww,7967,found
Upstox,smartrecruiters,upstox,1,https://careers.smartrecruiters.com/upstox,696,found
INDmoney,freshteam,indmoney,-1,https://indmoney.freshteam.com/jobs,1301,found
Smallcase,freshteam,smallcase,-1,https://smallcase.freshteam.com/jobs,1940,found
Fi Money,lever,fi,8,https://jobs.lever.co/fi,5255,found
Niyo,freshteam,niyo,-1,https://niyo.freshteam.com/jobs,3251,found
Freo,freshteam,freo,-1,https://freo.freshteam.com/jobs,3989,found
OneCard,freshteam,onecard,-1,https://onecard.freshteam.com/jobs,5227,found
Slice,greenhouse,slice,70,https://job-boards.greenhouse.io/slice,4673,found
Open Financial Technologies,personio,open,3,https://open.jobs.personio.de/,1621,found
Navi Technologies,ashby,navi,6,https://jobs.ashbyhq.com/navi,4325,found
Perfios,freshteam,perfios,-1,https://perfios.freshteam.com/jobs,963,found
HighRadius,greenhouse,highradius,79,https://job-boards.greenhouse.io/highradius,1060,found
Pine Labs,greenhouse,pine,1,https://job-boards.greenhouse.io/pine,5060,found
PayU India,freshteam,payu-india,-1,https://payu-india.freshteam.com/jobs,2955,found
Simpl,freshteam,simpl,-1,https://simpl.freshteam.com/jobs,3433,found
Khatabook,freshteam,khatabook,-1,https://khatabook.freshteam.com/jobs,4744,found
OkCredit,freshteam,okcredit,-1,https://okcredit.freshteam.com/jobs,4917,found
EnKash,freshteam,enkash,-1,https://enkash.freshteam.com/jobs,5827,found
Karbon Card,greenhouse,karbon,22,https://job-boards.greenhouse.io/karbon,4764,found
RazorpayX,freshteam,razorpayx,-1,https://razorpayx.freshteam.com/jobs,7568,found
Signzy,freshteam,signzy,-1,https://signzy.freshteam.com/jobs,1147,found
Digio,freshteam,digio,-1,https://digio.freshteam.com/jobs,1610,found
Gridlines,workable,gridlines,10,https://apply.workable.com/gridlines/,3424,found
Decentro,freshteam,decentro,-1,https://decentro.freshteam.com/jobs,3769,found
Finvu,freshteam,finvu,-1,https://finvu.freshteam.com/jobs,5732,found
Sahamati,freshteam,sahamati,-1,https://sahamati.freshteam.com/jobs,6032,found
FinBox,freshteam,finbox,-1,https://finbox.freshteam.com/jobs,7355,found
Progcap,freshteam,progcap,-1,https://progcap.freshteam.com/jobs,8508,found
Lendingkart,smartrecruiters,lendingkart,1,https://careers.smartrecruiters.com/lendingkart,8494,found
Capital Float,lever,capital,67,https://jobs.lever.co/capital,5094,found
KreditBee,freshteam,kreditbee,-1,https://kreditbee.freshteam.com/jobs,1019,found
MoneyTap,freshteam,moneytap,-1,https://moneytap.freshteam.com/jobs,2726,found
Rupeek,freshteam,rupeek,-1,https://rupeek.freshteam.com/jobs,2202,found
Indifi Technologies,freshteam,indifi-technologies,-1,https://indifi-technologies.freshteam.com/jobs,3132,found
ZestMoney,freshteam,zestmoney,-1,https://zestmoney.freshteam.com/jobs,4079,found
EarlySalary,freshteam,earlysalary,-1,https://earlysalary.freshteam.com/jobs,4367,found
Stashfin,freshteam,stashfin,-1,https://stashfin.freshteam.com/jobs,4758,found
Axio,rippling,axio,2,https://ats.rippling.com/axio/jobs,5407,found
Recur Club,freshteam,recur-club,-1,https://recur-club.freshteam.com/jobs,6083,found
Yubi,freshteam,yubi,-1,https://yubi.freshteam.com/jobs,6996,found
Credgenics,freshteam,credgenics,-1,https://credgenics.freshteam.com/jobs,4511,found
Yesbank Technology,freshteam,yesbank-technology,-1,https://yesbank-technology.freshteam.com/jobs,5569,found
Acko Insurance,freshteam,acko-insurance,-1,https://acko-insurance.freshteam.com/jobs,6409,found
Digit Insurance,freshteam,digit-insurance,-1,https://digit-insurance.freshteam.com/jobs,7268,found
Coverfox,freshteam,coverfox,-1,https://coverfox.freshteam.com/jobs,7304,found
Turtlemint,smartrecruiters,turtlemint,1,https://careers.smartrecruiters.com/turtlemint,7205,found
PolicyBazaar,freshteam,policybazaar,-1,https://policybazaar.freshteam.com/jobs,9059,found
Ditto Insurance,ashby,ditto,24,https://jobs.ashbyhq.com/ditto,4267,found
Loop Health,greenhouse,loop,14,https://job-boards.greenhouse.io/loop,4064,found
Nova Benefits,freshteam,nova-benefits,-1,https://nova-benefits.freshteam.com/jobs,10964,found
Plum Benefits,freshteam,plum-benefits,-1,https://plum-benefits.freshteam.com/jobs,1113,found
Onsurity,freshteam,onsurity,-1,https://onsurity.freshteam.com/jobs,1353,found
CoinDCX,freshteam,coindcx,-1,https://coindcx.freshteam.com/jobs,2037,found
CoinSwitch,freshteam,coinswitch,-1,https://coinswitch.freshteam.com/jobs,2844,found
WazirX,freshteam,wazirx,-1,https://wazirx.freshteam.com/jobs,3657,found
Mudrex,freshteam,mudrex,-1,https://mudrex.freshteam.com/jobs,4186,found
Biconomy,freshteam,biconomy,-1,https://biconomy.freshteam.com/jobs,4990,found
Polygon (MATIC),freshteam,polygon-matic,-1,https://polygon-matic.freshteam.com/jobs,5102,found
Vauld,freshteam,vauld,-1,https://vauld.freshteam.com/jobs,5871,found
Paysign,freshteam,paysign,-1,https://paysign.freshteam.com/jobs,6577,found
Swiggy,freshteam,swiggy,-1,https://swiggy.freshteam.com/jobs,1460,found
Zomato,freshteam,zomato,-1,https://zomato.freshteam.com/jobs,4111,found
Meesho,lever,meesho,52,https://jobs.lever.co/meesho,5813,found
Flipkart,freshteam,flipkart,-1,https://flipkart.freshteam.com/jobs,4577,found
Myntra,freshteam,myntra,-1,https://myntra.freshteam.com/jobs,5602,found
Nykaa,freshteam,nykaa,-1,https://nykaa.freshteam.com/jobs,6102,found
Urban Company,bamboohr,urban,17,https://urban.bamboohr.com/careers,2757,found
Lenskart,freshteam,lenskart,-1,https://lenskart.freshteam.com/jobs,7687,found
Ola,freshteam,ola,-1,https://ola.freshteam.com/jobs,8126,found
Rapido,freshteam,rapido,-1,https://rapido.freshteam.com/jobs,9160,found
Porter,lever,porter,29,https://jobs.lever.co/porter,2863,found
Delhivery,freshteam,delhivery,-1,https://delhivery.freshteam.com/jobs,1381,found
Shiprocket,freshteam,shiprocket,-1,https://shiprocket.freshteam.com/jobs,1865,found
Shadowfax,bamboohr,shadowfax,10,https://shadowfax.bamboohr.com/careers,3515,found
BlackBuck,freshteam,blackbuck,-1,https://blackbuck.freshteam.com/jobs,2922,found
Ninjacart,freshteam,ninjacart,-1,https://ninjacart.freshteam.com/jobs,3810,found
Jumbotail,freshteam,jumbotail,-1,https://jumbotail.freshteam.com/jobs,4722,found
Udaan,freshteam,udaan,-1,https://udaan.freshteam.com/jobs,4823,found
Moglix,freshteam,moglix,-1,https://moglix.freshteam.com/jobs,5973,found
OfBusiness,freshteam,ofbusiness,-1,https://ofbusiness.freshteam.com/jobs,6603,found
HealthifyMe,freshteam,healthifyme,-1,https://healthifyme.freshteam.com/jobs,5515,found
Practo,freshteam,practo,-1,https://practo.freshteam.com/jobs,6590,found
PharmEasy,freshteam,pharmeasy,-1,https://pharmeasy.freshteam.com/jobs,7509,found
1mg,freshteam,1mg,-1,https://1mg.freshteam.com/jobs,8397,found
Mfine,freshteam,mfine,-1,https://mfine.freshteam.com/jobs,9049,found
Innovaccer,freshteam,innovaccer,-1,https://innovaccer.freshteam.com/jobs,12482,found
Pristyn Care,freshteam,pristyn-care,-1,https://pristyn-care.freshteam.com/jobs,14081,found
Cult.fit,freshteam,cultfit,-1,https://cultfit.freshteam.com/jobs,14884,found
Cure.fit,freshteam,curefit,-1,https://curefit.freshteam.com/jobs,17599,found
ShareChat,freshteam,sharechat,-1,https://sharechat.freshteam.com/jobs,19578,found
Moj,freshteam,moj,-1,https://moj.freshteam.com/jobs,2714,found
Dailyhunt,freshteam,dailyhunt,-1,https://dailyhunt.freshteam.com/jobs,5621,found
Josh,personio,josh,3,https://josh.jobs.personio.de/,6224,found
Lokal,smartrecruiters,lokal,6,https://careers.smartrecruiters.com/lokal,6130,found
Glance,greenhouse,glance,30,https://job-boards.greenhouse.io/glance,6361,found
InMobi,greenhouse,inmobi,83,https://job-boards.greenhouse.io/inmobi,8437,found
mCaffeine,freshteam,mcaffeine,-1,https://mcaffeine.freshteam.com/jobs,12162,found
Purplle,freshteam,purplle,-1,https://purplle.freshteam.com/jobs,14519,found
