# Source: Bloomberry — Companies using BambooHR (active customer list)
# URL: https://bloomberry.com/data/bamboohr/
# Stated total: 8,840 companies detected
# Visible/saved here: 20 (rest paywalled)
# Format: Company Name | domain
# Date: 2026-06-23

Workman Nydegger | wnlaw.com
WMX | wearewmx.com
Versiti Inc. | versiti.org
Validic | validic.com
Sonoma Biotherapeutics, Inc. | sonomabio.com
SiteMinder | siteminder.com
Sharetown | sharetown.com
PJ Mechanical | pjmechanical.com
Oxford BioDynamics Plc | oxfordbiodynamics.com
Kassin Sabbagh Realty | ksrny.com
Gemic | gemic.com
Frore Systems | froresystems.com
Farfan & Mendes Guyana | fmlgy.com
Flashfood | flashfood.com
Hatzel & Buehler, Inc | hatzelandbuehler.com
EQ Office (Now Perform Properties) | eqoffice.com
CordeValle | cordevalle.com
Conquest Planning | conquestplanning.com
C. Herman Construction, LLC | chermanconstruction.com
AZOVA | azova.com
