# Source: Bloomberry — Companies using Greenhouse (active customer list)
# URL: https://bloomberry.com/data/greenhouse/
# Stated total: 4,048 companies detected using Greenhouse
# Visible/saved here: 20 (rest paywalled)
# Format: Company Name | domain
# Date: 2026-06-23

voxeljet GmbH | voxeljet.com
Valtech Mobility GmbH | valtech-mobility.de
Real Estate Council of Ontario | reco.on.ca
First Due | firstdue.com
HBD Príncipe - Sustainable Tourism | hbdprincipe.com
Olympus Automation Pty Ltd | cncolympus.com
Capital Bank of Jordan | capitalbank.jo
Windsor Advantage, LLC | windsoradvantage.com
Recycleye | recycleye.com
Amca | amca.com
NuvemRx | nuvemrx.com
Patronus AI | patronus.ai
Jetson | jetsonhome.com
ROOF TECHNOLOGY PARTNERS, LLC | rooftechnologypartners.com
Agency Eight | agency-eight.com
Voloridge Investment Management, LLC | voloridge.com
Verilife | verilife.co.uk
United States | us.gov
Gearbox Studio Québec | gearboxsoftware.com
Nauto | nauto.com
