# Source: Bloomberry — Companies using Personio (active customer list)
# URL: https://bloomberry.com/data/personio/
# Stated total: 5,674 companies detected
# Visible/saved here: 20 (rest paywalled)
# Format: Company Name | domain
# Date: 2026-06-23

Stay Informed GmbH | stayinformed.de
Stiftung Fairchance | stiftung-fairchance.org
SENTIRIS gGmbH | sentiris.de
GlasfaserPlus GmbH | glasfaserplus.de
Saegeling Medizintechnik | saegeling-mt.de
Sander Pflege GmbH | komm-ins-sander-team.de
Rijk Zwaan Welver GmbH | rijkzwaan.de
Reimo Reisemobil-Center GmbH | reimo.com
einhundert | einhundert.de
Podigee | podigee.com
premote | premote.de
PartsToGo GmbH | production-to-go.com
online-Forum GmbH | online-forum.net
Niemann und Heselschwerdt GmbH | niemann-heselschwerdt.de
Volkshilfe Burgenland | volkshilfe-bgld.at
topi | topi.eu
Maison Baum | maisonbaum.com
Kurt Maier Motor Press GmbH | kmmp.de
WILLMERKÖSTER Rechtsanwälte Insolvenzverwalter | koesterberner.de
I.NEO solutions GmbH | ineo-solutions.de
