# Source: Bloomberry — Companies using Recruitee (active customer list)
# URL: https://bloomberry.com/data/recruitee/
# Stated total: 1,077 companies detected
# Visible/saved here: 20 (rest paywalled)
# Format: Company Name | domain
# Date: 2026-06-23

European Payments Council (EPC) | europeanpaymentscouncil.eu
Coppens Metaal-techniek | coppensmetaal.nl
Tellent | tellent.com
Agence de services et de paiement (ASP) | asp.gouv.fr
Mission Mittelstand GmbH | mission-mittelstand.de
Deluxe Holiday Homes | deluxehomes.com
Hauptstadtfloß | hauptstadtfloss.de
Devleaps | devleaps.nl
Toku | toku.co
virtual7 GmbH | virtual7.de
Eneve | eneve.com
Ready | joinready.com
Oysho | oysho.com
MBD Steuerberatung | mbd-steuern.de
Kieser | kieser.com
Meggson | meggson.com
Qrabbl | qrabbl.nl
Lefebvre Sdu | sdu.nl
Nachbur AG | nachbur.ch
7Skin | 7skin.pt
