# Source: Bloomberry — Companies using Teamtailor (active customer list)
# URL: https://bloomberry.com/data/teamtailor/
# Stated total: 3,042 companies detected
# Visible/saved here: 20 (rest paywalled)
# Format: Company Name | domain
# Date: 2026-06-23

Duni Group | dunigroup.com
Vendôm Talents | vendomtalents.com
HSL Compliance | hslcompliance.com
Founders Pledge | founderspledge.com
GROUPE GEOSAT | geo-sat.com
Pubity Group | pubitygroup.com
inforcer | inforcer.com
Kabannas | kabannas.com
Burnt | burnt.co.za
Wellbeing Solutions ESP | wellbeingsolutions.es
Bustos Konsulttjänster AB | bustoskonsulttjanster.se
Nebula: Spiritual Guidance Space | asknebula.com
Coventry City Football Club | ccfc.co.uk
Magna Housing Ltd | magna.org.uk
ingroup | ingroupconsultoria.com
KOMPAN Global | kompan.com
WhyHireWrong? | whyhirewrong.com
Heras Group | heras.com
Sollentunahem AB | sollentunahem.se
Saigu Cosmetics | saigucosmetics.com
