# Source: TheirStack — Companies that use Greenhouse
# URL (global): https://theirstack.com/en/technology/greenhouse
# URL (India):  https://theirstack.com/en/technology/greenhouse/in
# Stated total (global): 30,429 companies
# Stated total (India):  105 companies
# Visible/saved here: 20 (10 global sample + 10 India sample)
# Format: Company Name | domain | scope
# Date: 2026-06-23

# --- Global sample (page 1) ---
Canonical | canonical.com | global
Outlier AI |  | global
SpaceX | spacex.com | global
Anduril Industries | anduril.com | global
Capco | capco.com | global
MongoDB | mongodb.com | global
DoorDash | doordash.com | global
Agoda | careersatagoda.com | global
Asset Living | assetliving.com | global
Cloudflare | cloudflare.com | global

# --- India sample (page 1) ---
Razorpay | razorpay.com | india
PhonePe | phonepe.com | india
Myntra | myntra.com | india
Blenheim Chalcot India | blenheimchalcot.in | india
Forbes & Company Limited | forbes.co.in | india
George P. Johnson Experience Marketing |  | india
Podium Infotech |  | india
AlphaGrep Securities | alpha-grep.com | india
Groww | groww.in | india
Go2Andaman |  | india
