ats,tenant,url,jobs
darwinbox,amnex,https://amnex.darwinbox.in,0
darwinbox,africarehrms,https://africarehrms.darwinbox.in,0
darwinbox,aartiindustries,https://aartiindustries.darwinbox.in,35
darwinbox,altigreen,https://altigreen.darwinbox.in,0
darwinbox,actcorp,https://actcorp.darwinbox.in,0
darwinbox,ais,https://ais.darwinbox.in,84
darwinbox,allcargo,https://allcargo.darwinbox.in,6
darwinbox,airtel,https://airtel.darwinbox.in,94
darwinbox,91springboard,https://91springboard.darwinbox.in,11
darwinbox,allianceinsurance,https://allianceinsurance.darwinbox.in,1
darwinbox,academy,https://academy.darwinbox.com,3
darwinbox,acmobility,https://acmobility.darwinbox.com,98
darwinbox,acuitykp,https://acuitykp.darwinbox.com,100
darwinbox,1mg,https://1mg.darwinbox.in,41
darwinbox,alliad,https://alliad.darwinbox.com,64
darwinbox,2xpeople,https://2xpeople.darwinbox.com,27
darwinbox,accpeoplehr,https://accpeoplehr.darwinbox.com,41
darwinbox,angelone,https://angelone.darwinbox.in,0
darwinbox,arcolab,https://arcolab.darwinbox.in,0
darwinbox,amwl,https://amwl.darwinbox.com,4
darwinbox,alef,https://alef.darwinbox.com,8
darwinbox,advikhris,https://advikhris.darwinbox.in,100
darwinbox,akrayagroup,https://akrayagroup.darwinbox.com,17
darwinbox,aragen,https://aragen.darwinbox.in,12
darwinbox,addof,https://addof.darwinbox.com,1
darwinbox,apacfinancial,https://apacfinancial.darwinbox.in,100
darwinbox,ashokleyland,https://ashokleyland.darwinbox.in,0
darwinbox,adaglobal,https://adaglobal.darwinbox.com,79
darwinbox,asdp,https://asdp.darwinbox.com,16
darwinbox,arzooo,https://arzooo.darwinbox.in,0
darwinbox,atyeti,https://atyeti.darwinbox.in,0
darwinbox,assudamal,https://assudamal.darwinbox.in,0
darwinbox,atomberg,https://atomberg.darwinbox.in,0
darwinbox,aurorels,https://aurorels.darwinbox.in,0
darwinbox,awl,https://awl.darwinbox.in,39
darwinbox,axisclinicals,https://axisclinicals.darwinbox.in,11
darwinbox,aujas,https://aujas.darwinbox.in,1
darwinbox,axiofinance,https://axiofinance.darwinbox.in,0
darwinbox,bharatpe,https://bharatpe.darwinbox.in,1
darwinbox,bhartifoundation,https://bhartifoundation.darwinbox.in,11
darwinbox,banyanhcmuat,https://banyanhcmuat.darwinbox.com,26
darwinbox,birlacorp,https://birlacorp.darwinbox.in,9
darwinbox,bhartiaxalife,https://bhartiaxalife.darwinbox.in,100
darwinbox,apollo,https://apollo.darwinbox.in,1
darwinbox,bluetokaicoffee,https://bluetokaicoffee.darwinbox.in,4
darwinbox,bigbasket,https://bigbasket.darwinbox.in,5
darwinbox,atherenergy,https://atherenergy.darwinbox.in,100
darwinbox,arvind,https://arvind.darwinbox.in,11
darwinbox,bitkuber,https://bitkuber.darwinbox.com,44
darwinbox,autoaxle,https://autoaxle.darwinbox.in,4
darwinbox,bqubeglobal,https://bqubeglobal.darwinbox.com,44
darwinbox,avanze,https://avanze.darwinbox.in,0
darwinbox,buzz,https://buzz.darwinbox.in,3
darwinbox,bsa,https://bsa.darwinbox.com,12
darwinbox,agrostar,https://agrostar.darwinbox.in,19
darwinbox,autalenthub,https://autalenthub.darwinbox.in,11
darwinbox,brigadegroup,https://brigadegroup.darwinbox.in,69
darwinbox,annalectindia,https://annalectindia.darwinbox.in,28
darwinbox,cardekho,https://cardekho.darwinbox.in,0
darwinbox,bukuwarung,https://bukuwarung.darwinbox.com,8
darwinbox,bgx,https://bgx.darwinbox.com,100
darwinbox,affle,https://affle.darwinbox.in,33
darwinbox,capillarytech,https://capillarytech.darwinbox.in,7
darwinbox,capitalfloat,https://capitalfloat.darwinbox.in,0
darwinbox,cafehrvarunagroup,https://cafehrvarunagroup.darwinbox.in,1
