ats,tenant,url,status,jobs,checked_at
breezy,021-strategic,021-strategic.breezy.hr,live,3,2026-09-23
breezy,1-grid,1-grid.breezy.hr,live,1,2026-09-23
breezy,1-on-1-development,https://1-on-1-development.breezy.hr,dead,,2026-09-23
breezy,1-second-everyday,https://1-second-everyday.breezy.hr,dead,,2026-09-23
breezy,10-4-truck-recruiting,10-4-truck-recruiting.breezy.hr,live,234,2026-09-23
breezy,10-missions-media,https://10-missions-media.breezy.hr,dead,,2026-09-23
breezy,1001,1001.breezy.hr,live,23,2026-09-23
breezy,10pearls,10pearls.breezy.hr,dead,,2026-09-23
breezy,10percent,10percent.breezy.hr,dead,,2026-09-23
breezy,11onze,11onze.breezy.hr,live,0,2026-09-23
breezy,11onze-bank,https://11onze-bank.breezy.hr,dead,,2026-09-23
breezy,11sigma,11sigma.breezy.hr,live,0,2026-09-23
breezy,120water,120water.breezy.hr,dead,,2026-09-23
breezy,1234s,https://1234s.breezy.hr,live,1,2026-09-23
breezy,1440-foods-manufacturing,1440-foods-manufacturing.breezy.hr,live,29,2026-09-23
breezy,180-seguros,https://180-seguros.breezy.hr,dead,,2026-09-23
breezy,180deg-insurance,https://180deg-insurance.breezy.hr,dead,,2026-09-23
breezy,18f9ff9383cd,https://18f9ff9383cd.breezy.hr,dead,,2026-09-23
breezy,1966,https://1966.breezy.hr,dead,,2026-09-23
breezy,1aes,1aes.breezy.hr,live,4,2026-09-23
breezy,1kx,1kx.breezy.hr,live,0,2026-09-23
breezy,1on1-development,https://1on1-development.breezy.hr,dead,,2026-09-23
breezy,1pertinent,1pertinent.breezy.hr,live,1,2026-09-23
breezy,1st-edge-llc,1st-edge-llc.breezy.hr,live,5,2026-09-23
breezy,1stgenyale,1stgenyale.breezy.hr,dead,,2026-09-23
breezy,1tap-by-receipt-bank,https://1tap-by-receipt-bank.breezy.hr,dead,,2026-09-23
breezy,2020,https://2020.breezy.hr,dead,,2026-09-23
breezy,20fathoms,20fathoms.breezy.hr,live,0,2026-09-23
breezy,20four7va,20four7va.breezy.hr,live,102,2026-09-23
breezy,212vc,https://212vc.breezy.hr,live,0,2026-09-23
breezy,21608173-code-4-canada,https://21608173-code-4-canada.breezy.hr,dead,,2026-09-23
breezy,21st-century-learning-international,https://21st-century-learning-international.breezy.hr,dead,,2026-09-23
breezy,22020065-council-of-canadian-innovators,https://22020065-council-of-canadian-innovators.breezy.hr,dead,,2026-09-23
breezy,23globalmarketing,23globalmarketing.breezy.hr,live,0,2026-09-23
breezy,24-hour-medical-staffing-services,24-hour-medical-staffing-services.breezy.hr,live,0,2026-09-23
breezy,25holdings-pte-ltd,https://25holdings-pte-ltd.breezy.hr,dead,,2026-09-23
