ats,tenant,url,status,jobs,checked_at
darwinbox,1mg,https://1mg.darwinbox.in,live,34,2026-08-14
darwinbox,2xpeople,https://2xpeople.darwinbox.com,live,25,2026-08-14
darwinbox,91springboard,https://91springboard.darwinbox.in,live,10,2026-08-14
darwinbox,aartiindustries,https://aartiindustries.darwinbox.in,live,38,2026-08-14
darwinbox,academy,https://academy.darwinbox.com,live,3,2026-08-14
darwinbox,accolitedigital,https://accolitedigital.darwinbox.com,unknown,,2026-08-12
darwinbox,accpeoplehr,https://accpeoplehr.darwinbox.com,live,29,2026-08-14
darwinbox,acmobility,https://acmobility.darwinbox.com,live,76,2026-08-14
darwinbox,actcorp,https://actcorp.darwinbox.in,live,0,2026-08-14
darwinbox,acuitykp,https://acuitykp.darwinbox.com,live,88,2026-08-14
darwinbox,adaglobal,https://adaglobal.darwinbox.com,live,62,2026-08-14
darwinbox,adaniwilmar,https://adaniwilmar.darwinbox.in,unknown,,2026-08-12
darwinbox,addof,https://addof.darwinbox.com,live,1,2026-08-14
darwinbox,advikhris,https://advikhris.darwinbox.in,live,100,2026-08-14
darwinbox,aegonlife,https://aegonlife.darwinbox.in,unknown,,2026-08-12
darwinbox,affle,https://affle.darwinbox.in,live,36,2026-08-14
darwinbox,africarehrms,https://africarehrms.darwinbox.in,live,0,2026-08-14
darwinbox,agrostar,https://agrostar.darwinbox.in,live,18,2026-08-14
darwinbox,agsdigihr,https://agsdigihr.darwinbox.in,unknown,,2026-08-12
darwinbox,airtel,https://airtel.darwinbox.in,live,69,2026-08-14
darwinbox,airvistara,https://airvistara.darwinbox.in,dead,,2026-07-03
darwinbox,ais,https://ais.darwinbox.in,live,74,2026-08-14
darwinbox,akrayagroup,https://akrayagroup.darwinbox.com,live,18,2026-08-14
darwinbox,alef,https://alef.darwinbox.com,live,12,2026-08-14
darwinbox,allcargo,https://allcargo.darwinbox.in,live,4,2026-08-14
darwinbox,alliad,https://alliad.darwinbox.com,live,65,2026-08-14
darwinbox,allianceinsurance,https://allianceinsurance.darwinbox.in,live,1,2026-08-14
darwinbox,altigreen,https://altigreen.darwinbox.in,live,0,2026-08-14
darwinbox,amnex,https://amnex.darwinbox.in,live,0,2026-08-14
darwinbox,ams,https://ams.darwinbox.com,unknown,,2026-08-12
darwinbox,amwl,https://amwl.darwinbox.com,live,4,2026-08-14
darwinbox,angelbroking,https://angelbroking.darwinbox.in,unknown,,2026-08-12
darwinbox,angelone,https://angelone.darwinbox.in,live,0,2026-08-14
darwinbox,annalectindia,https://annalectindia.darwinbox.in,live,28,2026-08-14
darwinbox,anpg,https://anpg.darwinbox.in,unknown,,2026-08-12
darwinbox,apacfinancial,https://apacfinancial.darwinbox.in,live,100,2026-08-14
darwinbox,apacwww,https://apacwww.darwinbox.com,unknown,,2026-08-12
darwinbox,api-docs,https://api-docs.darwinbox.com,unknown,,2026-08-12
darwinbox,apollo,https://apollo.darwinbox.in,live,1,2026-08-14
darwinbox,aragen,https://aragen.darwinbox.in,live,12,2026-08-14
darwinbox,arcolab,https://arcolab.darwinbox.in,live,0,2026-08-14
darwinbox,armstrongasiahris,https://armstrongasiahris.darwinbox.com,unknown,,2026-08-12
darwinbox,arthayantra,https://arthayantra.darwinbox.in,unknown,,2026-08-12
