ats,tenant,url,status,jobs,checked_at
ripplehire,7-eleven-gsc,https://7-eleven-gsc.ripplehire.com,live,120,2026-07-27
ripplehire,ab,https://ab.ripplehire.com,dead,,2026-07-27
ripplehire,abb,https://abb.ripplehire.com,live,9,2026-07-27
ripplehire,adapty,https://adapty.ripplehire.com,dead,,2026-07-27
ripplehire,aditistaffing,https://aditistaffing.ripplehire.com,dead,,2026-07-27
ripplehire,adityabirla,https://adityabirla.ripplehire.com,live,0,2026-07-27
ripplehire,adobe,https://adobe.ripplehire.com,dead,,2026-07-27
ripplehire,aecom,https://aecom.ripplehire.com,dead,,2026-07-27
ripplehire,altimetrik,https://altimetrik.ripplehire.com,live,222,2026-07-27
ripplehire,amadeus,https://amadeus.ripplehire.com,live,8,2026-07-27
ripplehire,anuntatech,https://anuntatech.ripplehire.com,live,4,2026-07-27
ripplehire,apiuat,https://apiuat.ripplehire.com,dead,,2026-07-27
ripplehire,astrazeneca,https://astrazeneca.ripplehire.com,live,2,2026-07-27
ripplehire,autodiscover,https://autodiscover.ripplehire.com,dead,,2026-07-27
ripplehire,axisbank,https://axisbank.ripplehire.com,live,8024,2026-07-27
ripplehire,axisbank-cp,https://axisbank-cp.ripplehire.com,dead,,2026-07-27
ripplehire,axiscapital,https://axiscapital.ripplehire.com,live,0,2026-07-27
ripplehire,axisdemo,https://axisdemo.ripplehire.com,dead,,2026-07-27
ripplehire,axisfinance,https://axisfinance.ripplehire.com,live,234,2026-07-27
ripplehire,axisfl-uat,https://axisfl-uat.ripplehire.com,live,118,2026-07-27
ripplehire,axissecurities,https://axissecurities.ripplehire.com,live,78,2026-07-27
ripplehire,axistrustee,https://axistrustee.ripplehire.com,live,3,2026-07-27
ripplehire,axisuat,https://axisuat.ripplehire.com,dead,,2026-07-27
ripplehire,babychakra,https://babychakra.ripplehire.com,dead,,2026-07-27
ripplehire,bahwancybertek,https://bahwancybertek.ripplehire.com,live,350,2026-07-27
ripplehire,bajajallianz,https://bajajallianz.ripplehire.com,live,0,2026-07-27
ripplehire,bajajgeneral,https://bajajgeneral.ripplehire.com,live,7,2026-07-27
ripplehire,bankbazaar,https://bankbazaar.ripplehire.com,dead,,2026-07-27
ripplehire,baxi,https://baxi.ripplehire.com,dead,,2026-07-27
ripplehire,bhartiaxa,https://bhartiaxa.ripplehire.com,live,0,2026-07-27
ripplehire,bhartiaxalife,https://bhartiaxalife.ripplehire.com,live,3,2026-07-27
ripplehire,birlasoft,https://birlasoft.ripplehire.com,dead,,2026-07-27
ripplehire,byjus,https://byjus.ripplehire.com,dead,,2026-07-27
ripplehire,byjustc,https://byjustc.ripplehire.com,dead,,2026-07-27
ripplehire,capgemini,https://capgemini.ripplehire.com,dead,,2026-07-27
