ats,tenant,url,status,jobs,checked_at
successfactors,careers.cipla.com,careers.cipla.com,live,80,2026-07-21
successfactors,careers.endress.com,careers.endress.com,live,347,2026-07-21
successfactors,careers.hcltech.com,careers.hcltech.com,live,1441,2026-07-21
successfactors,careers.ltimindtree.com,careers.ltimindtree.com,live,56,2026-07-21
successfactors,careers.payu.in,careers.payu.in,live,136,2026-07-21
successfactors,careers.sunpharma.com,careers.sunpharma.com,live,397,2026-07-21
successfactors,careers.swissre.com,careers.swissre.com,live,316,2026-07-21
successfactors,careers.tatamotors.com,careers.tatamotors.com,live,146,2026-07-21
successfactors,careers.vestas.com,careers.vestas.com,live,725,2026-07-21
successfactors,careers.wartsila.com,careers.wartsila.com,live,21,2026-07-21
successfactors,careers.wipro.com,careers.wipro.com,live,1444,2026-07-21
successfactors,jobdetails.nestle.com,jobdetails.nestle.com,live,1309,2026-07-21
successfactors,jobs.atos.net,jobs.atos.net,live,1034,2026-07-21
successfactors,jobs.bbraun.com,jobs.bbraun.com,live,944,2026-07-21
successfactors,jobs.birlasoft.com,jobs.birlasoft.com,live,705,2026-07-21
successfactors,jobs.danfoss.com,jobs.danfoss.com,live,606,2026-07-21
successfactors,jobs.ltts.com,jobs.ltts.com,live,26,2026-07-21
successfactors,jobs.mahindracareers.com,jobs.mahindracareers.com,live,653,2026-07-21
successfactors,jobs.sap.com,jobs.sap.com,live,18,2026-07-21
successfactors,jobs.schaeffler.com,jobs.schaeffler.com,live,700,2026-07-21
successfactors,jobs.tetrapak.com,jobs.tetrapak.com,live,23,2026-07-21
successfactors,jobs.thyssenkrupp.com,jobs.thyssenkrupp.com,live,1771,2026-07-21
successfactors,jobs.voith.com,jobs.voith.com,live,21,2026-07-21
successfactors,jobs.volvogroup.com,jobs.volvogroup.com,live,606,2026-07-21
successfactors,jobs.zf.com,jobs.zf.com,live,742,2026-07-21
successfactors,jobsearch.alstom.com,jobsearch.alstom.com,live,26,2026-07-21
