slug,postings,root_status,root_location,page_status,page_has_ld
10kai,59,302,https://10000internsfoundation.com/our-programmes/,302,False
abdynamics,12,200,,200,True
aawdc,17,200,,200,True
abcdboston,56,301,https://careers.bostonabcd.org/,301,False
5starnutrition,38,200,,200,True
aab,49,200,,200,True
10kbi,304,404,,,False
able-interns,33,404,,,False
10kbi-23,638,404,,,False
accelercomm,12,200,,200,True
acme,3,200,,200,True
accenture,7,200,,200,True
acrobat,1,200,,200,True
aciedge,28,200,,200,True
actica,9,200,,200,True
adalo,1,404,,,False
activpayroll,14,200,,200,True
adaptix,1,200,,200,True
adenza-training,1,200,,200,True
adamarchitecture,6,200,,200,True
admgroup,30,301,https://careers.admgroup.com/,301,False
aestrategies,3,404,,,False
aeriz,9,200,,200,True
advantagedental,55,301,https://jobs.advantagedental.com/,301,False
advitaortho,28,200,,200,True
afcb,4,301,https://careers.afcb.co.uk/,301,False
afme,2,301,https://careers.afme.eu/,301,False
agomab,3,200,,200,True
aireon,1,200,,200,True
airtanker,4,200,,200,True
algomarketing,20,200,,200,True
allclearinsurance,3,200,,200,True
alcanzaclinical,54,200,,200,True
alternativeheat,44,200,,200,True
ambition,3,200,,200,True
alcumus,68,200,,200,True
americanveterinarygroup,647,200,,200,True
americancampus,112,301,https://careers.americancampus.com/,301,False
ameswellhotel,8,200,,200,True
ampagroup,47,301,https://careers.ampa.co.uk/,301,False
americanexcelsior,5,200,,200,True
anthonycollins,18,200,,200,True
apollo,7,301,https://careers.apollo.engineer/,301,False
anthesisgroup,54,200,,200,True
apd,6,200,,200,True
anotherstar,11,301,https://careers.anotherstar.com/,301,False
aps,1,301,https://jobs.aps.org/,301,False
appquantum,1,200,,200,True
arkatechture,3,200,,200,True
ardentprinciples,24,200,,200,True
aria,6,200,,200,True
arthurcox,8,200,,200,True
arrowglobal,20,200,,200,True
ascensusspecialties,7,200,,200,True
armstrongwatson,70,200,,200,True
article,10,200,,200,True
astonmartinf1,12,200,,200,True
astorg,3,200,,200,True
aspireallergy,48,200,,200,True
atbtherapeutics,1,200,,200,True
atlanticaviation,4,200,,200,True
astrolab,38,200,,200,True
astranahealth,100,200,,200,True
auroraer,101,301,https://careers.auroraer.com/,301,False
avreklaw,11,301,https://careers.avrek.com/,301,False
avaaz,2,200,,200,True
ballet,4,301,https://careers.ballet.org.uk/,301,False
bactobio,2,200,,200,True
bedellcristin,4,200,,200,True
bandlab,2,200,,200,True
bateswells,2,200,,200,True
barnetsouthgate,10,200,,200,True
bathcollege,8,200,,200,True
bathspa,10,200,,200,True
bdoireland,16,200,,200,True
benchmarkcapital,22,301,https://careers.benchmarkcapital.co.uk/,301,False
berkeleygroup,16,301,https://experiencedhires.berkeleygroup.co.uk/,301,False
benchmarkgc,12,200,,200,True
bighappy,4,200,,200,True
biomade,10,301,https://careers.biomade.org/,301,False
bison,5,404,,,False
bighatbiosciences,14,200,,200,True
birchgold,1,200,,200,True
biorelate,1,200,,200,True
blackpooltransport,5,301,https://careers.blackpooltransport.com/,301,False
bizimply,2,200,,200,True
bloodcanceruk,2,200,,200,True
bluecross,15,301,https://jobs.bluecross.org.uk/,301,False
bluestreamfiber,7,200,,200,True
bluejayaba,29,200,,200,True
bluesentry,2,200,,200,True
bnc-ox-ac,1,200,,200,True
bmt,43,200,,200,True
bluemantis,25,200,,200,True
bobsredmill,17,200,,200,True
breedongroup,102,301,https://careers.breedongroup.com/,301,False
british-business-bank,6,301,https://careers.british-business-bank.co.uk/,301,False
bright,4,200,,200,True
brightteach,5,200,,200,True
broadfutures,3,200,,200,True
brivo,75,301,https://careers.brivo.com/,301,False
bryq,4,404,,,False
bryanfagan,48,200,,200,True
btny,4,200,,200,True
bucksmindcareers,2,200,,200,True
butlins,74,301,https://jobs.butlins.com/,301,False
campgreystone,3,200,,200,True
cannabiscareers,5,200,,200,True
c10labs,22,200,,200,True
careys,34,301,https://careers.careys.co/,301,False
carmel,1,200,,200,True
carma,31,200,,200,True
carto,3,200,,200,True
cartesian,5,200,,200,True
cellandgenetherapycatapult,1,200,,200,True
caturus,35,200,,200,True
cdlsoftware,3,200,,200,True
cfar,2,301,https://careers.cfar.com/,301,False
ces,32,301,https://careers.in-charge-electric.com/,301,False
celnor,83,301,https://careers.celnor.com/,301,False
cfra,7,200,,200,True
cgt,2,200,,200,True
cgwm,1,200,,200,True
chainbridgesolutions,3,301,https://careers.chainbridgesolutions.com/,301,False
cgtcanada,11,200,,200,True
chancetoshine,1,200,,200,True
chartwell-consulting,4,200,,200,True
checkit,6,301,https://careers.checkit.net/,301,False
cfc,62,200,,200,True
chetwood-bank,2,200,,200,True
cinven,2,200,,200,True
cifas,2,200,,200,True
clearlyrated,1,200,,200,True
clareps,38,200,,200,True
clearview,11,200,,200,True
clearviewresearch,1,200,,200,True
clever-digital-marketing,15,301,https://careers.cleverdigitalmarketing.ca/,301,False
clientearth,5,301,https://jobs.clientearth.org/,301,False
cms2,7,301,https://careers.cms2.com/,301,False
cmap,5,200,,200,True
cnps,1,200,,200,True
collascrill,4,301,https://careers.collascrill.com/,301,False
codexis,3,200,,200,True
coforma,6,200,,200,True
colegsirgar,8,200,,200,True
codec,22,200,,200,True
company,7,200,,200,True
compregroup,6,200,,200,True
continuum,2,200,,200,True
compassionuk,2,200,,200,True
continentalserves,60,200,,200,True
convexin,3,200,,200,True
concordance,9,200,,200,True
coople,6,404,,,False
conveylaw,6,200,,200,True
confluence,25,200,,200,True
copper,5,200,,200,True
compasshealthnetwork,256,200,,200,True
confidencems,54,200,,200,True
corbinengineering,25,301,https://careers.corbinengineering.com/,301,False
cord,3,200,,200,True
cpcatapult,5,200,,200,True
crawfordtech,2,200,,200,True
crcna,7,200,,200,True
creativeforce,4,200,,200,True
cottonholdings,78,200,,200,True
ctidigital,1,200,,200,True
crisissupport,3,200,,200,True
d1a,16,200,,200,True
cvtechnology,1,200,,200,True
cubico,4,200,,200,True
davidchipperfieldarchitects,1,200,,200,True
daas,16,301,https://careers.daasdistrict.com/,301,False
dains,49,301,https://careers.dains.com/,301,False
dbrand,4,200,,200,True
decaturutilities,4,301,https://jobs.decaturutilities.com/,301,False
dazn,125,301,https://careers.dazn.com/,301,False
dea,14,200,,200,True
davies,256,200,,200,True
deister,2,200,,200,True
designline,2,200,,200,True
desteia,1,200,,200,True
digitaljersey,1,200,,200,True
dacbeachcroft,132,301,https://apply.dacbeachcroft.com/,301,False
developers-test,5,200,,200,True
disturbia,6,200,,200,True
detertech,21,301,https://careers.detertech.com/,301,False
digitalscience,4,200,,200,True
djrelocation,1,404,,,False
dlscorporation,1,301,https://jobs.dlscorporation.com/,301,False
dixonwilson,2,200,,200,True
dob,6,301,https://careers.budget.ny.gov/,301,False
djh,28,200,,200,True
dmchealthcare,9,200,,200,True
dofe,2,200,,200,True
dnata,40,200,,200,True
donmarwarehouse,2,301,https://careers.donmarwarehouse.com/,301,False
dogstrust,15,301,https://careers.dogstrust.org.uk/,301,False
doradosoftwaregroup,11,200,,200,True
dwe,9,200,,200,True
eastwestrail,3,301,https://careers.eastwestrail.co.uk/,301,False
driverondemand,14,200,,200,True
earlybirdtutors,177,404,,,False
ebcap,33,200,,200,True
eberjey,8,200,,200,True
eastlandsvsl,30,200,,200,True
edjassociates,1,200,,200,True
edisonohio,14,200,,200,True
eisgroup,19,301,https://careers.eisgroup.com/,301,False
elemis,37,301,https://careers.elemis.com/,301,False
elevategroup,1,200,,200,True
ebiquity,10,200,,200,True
elfc,2,200,,200,True
embark,2,200,,200,True
emumba,5,200,,200,True
emergn,8,200,,200,True
enosisbd,3,301,https://careers.enosisbd.com/,301,False
emeraldtransformer,15,200,,200,True
energyaspects,10,301,https://careers.energyaspects.com/,301,False
endsight,5,200,,200,True
enva,52,200,,200,True
envisionageinc,9,200,,200,True
eptura,4,200,,200,True
equinox-eng,44,301,https://careers.equinox-eng.com/,301,False
escalon-services,6,200,,200,True
esss,42,200,,200,True
estalent,1,200,,200,True
esland,63,200,,200,True
eventbase,1,200,,200,True
fernway,9,301,https://careers.fernway.com/,301,False
factbird,11,200,,200,True
fidelitone,19,200,,200,True
field,17,200,,200,True
finfrock,14,200,,200,True
fifa-careers,49,301,https://jobs.fifa.com/,301,False
finfrock-old,6,200,,200,True
flexxray,4,301,https://careers.flexxray.com/,301,False
fiveandfly,36,200,,200,True
flatironssolutions,7,200,,200,True
fmcgroup,1,301,https://career.fmcgroup.com/,301,False
flintbishop,70,301,https://careers.flintbishop.co.uk/,301,False
fortifyhealth,3,200,,200,True
freeagent,5,301,https://careers.freeagent.com/,301,False
forterro,49,200,,200,True
fresh-energy,1,301,https://careers.fresh-energy.org/,301,False
freeda,3,200,,200,True
foxconnwi,99,200,,200,True
frazil,4,200,,200,True
freshstartineducation,26,301,https://jobs.freshstartineducation.co.uk/,301,False
frontline,4,200,,200,True
franklin-electric,88,200,,200,True
fs-elliott,3,200,,200,True
fscurtis,8,200,,200,True
fulwellentertainment,3,200,,200,True
fundapps,4,200,,200,True
futuregroup,4,200,,200,True
gagosian,3,200,,200,True
geldards,3,301,https://careers.geldards.com/,301,False
gdenergyproducts,3,200,,200,True
gardiner,35,200,,200,True
gig,7,200,,200,True
futurecareers,26,200,,200,True
gembaadvantage,11,200,,200,True
girlsontherun,5,200,,200,True
gkc,4,200,,200,True
gitwit,11,200,,200,True
glp,1,200,,200,True
gordonmurraygroup,7,200,,200,True
gravityglobal,12,200,,200,True
greensourcefab,7,301,https://apply.greensourcefab.com/,301,False
goodenergy,11,301,https://careers.goodenergy.co.uk/,301,False
greenergy,13,200,,200,True
gmesupply,42,200,,200,True
grasshopper,6,200,,200,True
gloryglobal,106,200,,200,True
groupgti,10,200,,200,True
gs1ca,3,200,,200,True
gtci,1,200,,200,True
greenwoodproject,9,200,,200,True
gsttfoundation,5,200,,200,True
guernseyelectricity,8,200,,200,True
groupo,19,200,,200,True
greenstarexteriors,23,200,,200,True
harnham,0,200,,,False
hadean,4,404,,,False
harpercollins,1,200,,200,True
hallmarkhcs,6,200,,200,True
harmeny,6,200,,200,True
hcbrands,1,200,,200,True
hazelcast,8,200,,200,True
hcfraudshield,2,200,,200,True
hgcapital,1,404,,,False
headlandarchaeology,12,200,,200,True
headkount,63,200,,200,True
highfivecares,20,200,,200,True
hirasmus,5,200,,200,True
herrs,42,200,,200,True
helpr,60,200,,200,True
hirenightowl,99,200,,200,True
holdinghandsinc,19,200,,200,True
honeymoonisrael,3,301,https://careers.honeymoonisrael.org/,301,False
hookelehomecare,3,200,,200,True
hooli,13,200,,200,True
howe,6,200,,200,True
hollandamericaprincess,44,200,,200,True
hollandamericagroup,115,200,,200,True
hopwood,5,200,,200,True
huddnewcoll,2,200,,200,True
humankind,17,301,https://careers.humankind.nz/,301,False
holtgrp,323,200,,200,True
hughbaird,12,200,,200,True
ibuypower,3,301,https://careers.ibuypower.com/,301,False
igsinsights,15,301,https://careers.igsinsights.com/,301,False
igegroup,3,200,,200,True
ifx,11,200,,200,True
imagemaker,27,200,,200,True
imagination,6,200,,200,True
impactassets,5,200,,200,True
impruvon,5,200,,200,True
inmusicbrands,22,200,,200,True
in-telecom,12,200,,200,True
integration-testing,1,200,,200,True
intandem,11,301,https://careers.intandem.com/,301,False
instant-impact,23,301,https://careers.instant-impact.com/,301,False
indrive,127,200,,200,True
impulsespace,192,200,,200,True
interactsoftware,10,301,https://careers.interactsoftware.com/,301,False
invoxpharma,3,301,https://careers.invoxpharma.com/,301,False
investorhub,4,200,,200,True
intermedia,63,200,,200,True
invictus-verus,11,200,,200,True
itvet,2,200,,200,True
itchen,2,200,,200,True
isginc,149,200,,200,True
innovetivepetcare,177,200,,200,True
iukktn-uk,1,301,https://careers.iuk-business-connect.org.uk/,301,False
iuoelocal793,1,200,,200,True
iventure,4,200,,200,True
jec,6,301,https://careers.jec.co.uk/,301,False
jbs-ltd,17,200,,200,True
jed,2,200,,200,True
jerseywater,2,200,,200,True
jesus-college,3,200,,200,True
jimersonfirm,14,200,,200,True
joe-testing,14,200,,200,True
jtglobal,2,301,https://careers.jtglobal.com/,301,False
jsitel,43,301,https://careers.jsitel.com/,301,False
judge-priestley,7,200,,200,True
kastcard,18,301,https://careers.kast.xyz/,301,False
karpstrategies,1,200,,200,True
jobs-aligntech,213,301,https://jobs.aligntech.com/,301,False
keck,7,200,,200,True
joinparachute,431,200,,200,True
kenwayconsulting,6,200,,200,True
kerbfood,5,301,https://careers.kerbfood.com/,301,False
kesbath,2,200,,200,True
knowles,6,301,https://careers.knowles.com/,301,False
koosakids,36,301,https://careers.koosakids.co.uk/,301,False
kido,78,200,,200,True
keystoneclear,201,200,,200,True
kharon,24,404,,200,True
krestonreeves,13,200,,200,True
kriyatx,4,200,,200,True
kempinski,307,200,,200,True
ksc,2,301,https://jobs.ksc.ac.uk/,301,False
lancashire-group,4,301,https://careers.lancashiregroup.com/,301,False
lahproperty,11,200,,200,True
langhamhall,25,301,https://careers.langhamhall.com/,301,False
lakesidetrucks,28,200,,200,True
lbresearch,17,200,,200,True
leadelimination,6,200,,200,True
leadingedgeaviation,6,200,,200,True
kwi,11,200,,200,True
leighton,3,200,,200,True
leski,2,200,,200,True
lineleap,5,200,,200,True
lendable,5,200,,200,True
lingoda,13,200,,200,True
livelink,2,200,,200,True
littleelmsdaycare,40,200,,200,True
liv-coll,17,200,,200,True
londonandpartners,3,301,https://talent.londonandpartners.com/,301,False
lmh,2,200,,200,True
londonhireltd,15,200,,200,True
loccitane,1,200,,200,True
lovehoney,3,301,https://lhcareers.lovehoneygroup.com/,301,False
londonyouth,3,200,,200,True
lowcarboncontracts,14,301,https://careers.lowcarboncontracts.uk/,301,False
lumensol,4,200,,200,True
lvcaregroup,13,200,,200,True
magdalencareers,1,200,,200,True
made4net,4,200,,200,True
maggies,4,301,https://jobs.maggies.org/,301,False
made-tech,22,200,,200,True
lush,55,200,,200,True
mainstreetanesthesia,11,200,,200,True
mammoth,5,301,https://jobs.mammoth.org/,301,False
makers,4,200,,200,True
manhattanyouth,9,301,https://jobs.manhattanyouth.org/,301,False
malaa,5,200,,200,True
marketingpros,1,200,,200,True
markeys,16,301,https://careers.markeys.com/,301,False
magic,164,200,,200,True
masteryprep,5,200,,200,True
