slug,bytes,postings,tech
accenture,53995,7,3
accelercomm,80126,12,8
abdynamics,96554,12,3
aawdc,94937,17,1
5starnutrition,159690,38,0
10kai,67261,59,9
aab,516209,49,0
acrobat,7489,1,0
abcdboston,626255,56,1
adaptix,7530,1,1
actica,99869,9,7
adamarchitecture,35857,6,0
aciedge,225684,28,5
adenza-training,7803,1,0
activpayroll,73505,14,1
afme,15724,2,0
afcb,33752,4,0
aeriz,44019,9,0
agomab,25043,3,0
admgroup,181052,30,15
aireon,17479,1,0
advitaortho,173966,28,11
advantagedental,265058,55,0
airtanker,25555,4,2
allclearinsurance,21415,3,0
ambition,46256,3,0
americanveterinarygroup,3351439,647,0
algomarketing,203720,20,5
americanexcelsior,24013,5,0
alcanzaclinical,389043,54,0
alternativeheat,212818,44,1
alcumus,686138,68,11
ameswellhotel,32190,8,0
anotherstar,95500,11,0
apd,53026,6,0
anthonycollins,78910,18,0
apollo,29555,7,3
appquantum,6249,1,0
ampagroup,383936,47,2
americancampus,1030943,112,0
aps,7355,1,0
anthesisgroup,432724,53,13
arkatechture,35012,3,3
aria,91505,6,1
ardentprinciples,185873,24,24
arthurcox,64389,8,1
ascensusspecialties,60119,7,0
arrowglobal,114050,20,9
armstrongwatson,788989,70,0
article,139524,10,2
astorg,27678,3,0
atbtherapeutics,5523,1,0
astonmartinf1,93001,12,5
aspireallergy,480503,48,0
astrolab,273007,38,20
avaaz,14742,2,0
bactobio,16237,2,2
atlanticaviation,57062,4,1
avreklaw,55040,11,1
ballet,19924,4,0
bandlab,12797,2,0
bedellcristin,28315,4,0
astranahealth,798268,100,5
bateswells,24976,2,0
barnetsouthgate,85461,10,0
bathcollege,62723,8,0
auroraer,806125,101,44
bathspa,81127,10,0
bdoireland,133069,16,0
bighappy,33757,4,2
benchmarkcapital,179065,22,3
benchmarkgc,144743,12,0
biorelate,11827,1,1
bighatbiosciences,78247,14,6
birchgold,10898,1,0
bizimply,11638,2,1
biomade,113698,10,3
berkeleygroup,135265,16,1
bloodcanceruk,15991,2,0
blackpooltransport,57683,5,2
bluesentry,12385,2,2
bluestreamfiber,48050,7,0
bnc-ox-ac,13951,1,0
bluecross,155348,15,0
bluejayaba,121003,29,0
bluemantis,192892,25,17
bmt,397377,43,14
bobsredmill,167920,17,2
bright,32553,4,2
broadfutures,18411,3,0
british-business-bank,37610,6,1
brightteach,68858,5,0
btny,40151,4,0
bucksmindcareers,18611,2,0
breedongroup,679696,102,4
brivo,547801,75,34
bryanfagan,303140,48,0
campgreystone,24237,3,0
cannabiscareers,26279,5,0
carmel,5192,1,0
c10labs,199618,22,0
carma,181696,31,1
cartesian,33934,5,0
butlins,411064,75,0
carto,27930,3,1
careys,174597,34,7
cellandgenetherapycatapult,11177,1,0
cdlsoftware,38445,3,3
cfar,19810,2,0
caturus,303699,35,6
cfra,44845,7,3
ces,204389,32,0
cgt,17152,2,0
cgwm,5067,1,0
cgtcanada,92235,11,2
chainbridgesolutions,26286,3,0
chancetoshine,8890,1,0
celnor,776705,82,10
chartwell-consulting,22848,4,0
checkit,54267,6,0
chetwood-bank,8480,2,1
cfc,370746,62,19
cifas,19717,2,0
cinven,8290,2,0
clearlyrated,9879,1,1
clearviewresearch,3258,1,0
clientearth,39247,5,0
clearview,72745,11,3
cms2,66456,7,3
cmap,29878,5,1
cnps,19072,1,0
clareps,279089,38,0
clever-digital-marketing,172312,15,0
codexis,21454,3,1
coforma,58455,6,4
colegsirgar,59776,8,0
collascrill,23613,4,0
company,56955,7,3
codec,200752,22,14
compassionuk,32588,2,0
compregroup,43656,6,0
continuum,5533,2,2
concordance,98563,9,0
convexin,21203,3,0
confluence,267198,25,14
confidencems,240345,54,0
copper,41250,5,1
conveylaw,50409,6,2
cord,26296,3,0
continentalserves,511066,60,2
corbinengineering,197726,25,1
crawfordtech,15305,2,1
compasshealthnetwork,1460073,256,0
cpcatapult,66974,5,0
crcna,75407,7,3
creativeforce,38550,4,1
crisissupport,35257,3,0
cvtechnology,9443,1,0
ctidigital,9692,1,0
cubico,36549,4,0
cottonholdings,687882,78,0
davidchipperfieldarchitects,4501,1,0
daas,107917,16,0
d1a,142611,16,0
dains,240692,49,2
dbrand,46874,4,0
deister,12698,2,0
decaturutilities,19174,4,0
dea,93328,14,4
designline,27182,2,0
desteia,11561,1,0
digitaljersey,9571,1,0
dacbeachcroft,995058,130,16
dazn,828126,125,38
detertech,194597,21,5
dixonwilson,16751,2,0
digitalscience,51982,4,0
davies,2022381,256,57
