slug,status,bytes,postings,location,secs
acrobat,200,7489,1,,0.6379880905151367
acme,200,23312,3,,0.7785727977752686
accenture,200,53995,7,,0.7802650928497314
abdynamics,200,96554,12,,0.9147799015045166
actica,200,99869,9,,0.9169039726257324
aawdc,200,94937,17,,1.0214428901672363
aciedge,200,225684,28,,1.081739902496338
adaptix,200,7530,1,,0.6016366481781006
aab,200,516209,49,,1.4485738277435303
agencyanalytics,200,11,0,,0.5063059329986572
activpayroll,200,73505,14,,0.8925650119781494
aeriz,200,44019,9,,0.7691352367401123
aireon,200,17479,1,,0.7891509532928467
admgroup,200,181052,30,,1.2440450191497803
advitaortho,200,173966,28,,1.2173500061035156
alliedtalentpartners,200,11,0,,0.5398001670837402
airtanker,200,25555,4,,0.8803839683532715
altavr,200,11,0,,0.5431172847747803
algomarketing,200,203720,20,,1.2079901695251465
amber,200,11,0,,0.6134719848632812
ambition,200,46256,3,,0.6783909797668457
americanexcelsior,200,24013,5,,0.719092845916748
alcanzaclinical,200,389043,54,,1.8089568614959717
alcumus,200,686156,68,,1.7719700336456299
americanveterinarygroup,200,3351439,647,,0.8945379257202148
alternativeheat,200,212818,44,,1.3812742233276367
ameswellhotel,200,32190,8,,0.7197909355163574
apd,200,53026,6,,0.6807301044464111
appleburybehaviorassociates,200,11,0,,0.5074851512908936
appquantum,200,6249,1,,0.53084397315979
anthonycollins,200,78910,18,,1.0142338275909424
aptem,200,11,0,,0.594658613204956
apollo,200,29555,7,,0.763552188873291
arellanoassociates,200,11,0,,0.5188601016998291
anthesisgroup,200,439982,54,,1.4853770732879639
armis,200,11,0,,0.5952281951904297
arkatechture,200,35012,3,,0.7546751499176025
ardentprinciples,200,185873,24,,1.1923840045928955
aria,200,91505,6,,0.8505768775939941
arthurventures,200,11,0,,0.5029129981994629
arthurcox,200,64389,8,,0.9495091438293457
arrowglobal,200,114050,20,,0.9696938991546631
asc-es-reliable,301,114,,https://reliablesfc.pinpointhq.com/postings.json,0.4766550064086914
article,200,139524,10,,1.1735343933105469
ascensusspecialties,200,60119,7,,0.8881490230560303
astorg,200,27678,3,,0.804807186126709
atbtherapeutics,200,5523,1,,0.5924060344696045
astonmartinf1,200,93001,12,,1.016935110092163
astrolab,200,281217,39,,1.191396713256836
atlanticaviation,200,57062,4,,0.7611620426177979
bactobio,200,16237,2,,0.6781530380249023
aspireallergy,200,480503,48,,1.7485496997833252
barnetsouthgate,200,85461,10,,0.8741550445556641
bathcollege,200,62723,8,,0.8866400718688965
beautiful-destinations,200,11,0,,0.5799727439880371
bedegaming,200,11,0,,0.5294749736785889
astranahealth,200,798268,100,,2.022603988647461
