slug,root_status,root_bytes,location
agencyanalytics,200,92546,
alliedtalentpartners,200,82497,
altavr,200,84152,
amber,200,77216,
appleburybehaviorassociates,200,75845,
aptem,200,133401,
arellanoassociates,200,125773,
armis,200,79557,
arthurventures,200,149231,
beautiful-destinations,200,90945,
bedegaming,200,74283,
betterlesson,200,78014,
birchesgroup,200,90478,
britten-norman,200,116757,
bsr,200,153837,
buildarocketboy,200,84247,
calbudgetcenter,200,133533,
calligo,200,85615,
clarifyb2b,200,75087,
climatebonds,200,105424,
cornwallinsight,200,84017,
coursedog,200,75622,
courtclerk,200,75503,
cybernetic-controls,200,172114,
db1group,200,76621,
deepseas,200,71658,
desmos,200,72966,
edgehealth,200,102732,
elliptic,200,79605,
emerald,200,98394,
encompass,200,166190,
enhance,200,76744,
everi,200,74735,
exclaimer,200,77323,
fremontgroup,200,76014,
gain-careers,200,81039,
gainuk,200,88224,
gappify,200,83704,
gameplaygalaxy,200,118394,
gcp,200,72639,
gearsupply,200,75404,
geeiq,200,123475,
globeleq,200,72908,
hyperhippo,200,82576,
icario,200,76122,
insightgroup,200,70986,
instantimpactrecruitment,200,51950,
intellihr,200,88016,
interopio,200,72483,
ipsos,200,310729,
iwbi,200,99159,
jbh,200,82550,
knack,200,71246,
lantern,200,75103,
lichfields,200,88827,
lldc,200,110975,
madfishdigital,200,84714,
maldensolutions,200,76597,
mavericklabs,200,79209,
mechanismventures,200,89867,
medic,200,77275,
meridianbirdremovalcareers,200,145596,
mplc,200,77393,
myinterview,200,103147,
mymedtrust,200,79847,
northcodersgroup,200,172932,
notonthehighstreet,200,101255,
onboarding,200,34744,
oneplan,200,187059,
oneapp,200,100124,
ouswre,200,78804,
outthererpo,200,78873,
overlandpartners,200,125306,
patlive,200,115132,
pbp,200,87872,
pipedreams,200,79005,
precisionneuro,200,76557,
pridefoundation,200,72975,
propelleraero,200,88213,
qualitylogic,200,126298,
recentive,200,73216,
recycle,200,72430,
repdata,200,130175,
riipen,200,122103,
rivalry,200,75020,
robertson,200,71947,
sepiontechnologies,200,72943,
spektrix,200,73400,
sstb,200,73207,
steer73,200,76110,
stsaviour,200,96057,
superside,200,74680,
syncfusion,200,90219,
taco,200,38470,
teacherapprenticeship,200,77178,
thebulwark,200,113669,
theimpact,200,87703,
theinstantgroup,200,141095,
theloadingdock,200,93993,
therapymgmt,200,152071,
theready,200,75817,
thestahlcompanies,200,86038,
trainwell,200,100147,
tripledotstudios,200,124932,
tuscanystrategy,200,74868,
universal,200,72317,
vaiie,200,131124,
verdox,200,71829,
vitalbio,200,99007,
virtualstaffing,200,92834,
wagepoint,200,74514,
vitech-systems-group,200,127447,
waymark,200,95911,
weare54,200,91543,
wecarehcc,200,101151,
ynab,200,81326,
zenergi,200,77647,
