slug,api_count,sitemap_count,board_page_status,company_name,in_sitemap,in_wayback,internal_rows,remote_rows,hybrid_rows
1-percent-group,4,3,200,1 Percent Group,1,0,0,4,0
1-point-system-llc,3,3,200,1 point System LLC,1,0,0,0,0
4point-2-technologies,3,1,200,4Point 2 Technologies,1,0,0,0,0
7th-sky-technologies-llc,25,25,200,7Th Sky technologies llc,1,0,0,0,22
8bitai,1,1,200,8bit.ai,1,0,0,0,0
8byte,7,6,200,Octa Byte AI Pvt Ltd,1,0,0,0,0
a2z-jobs-consultancy,0,0,200,A2Z Jobs Consultancy,0,1,0,0,0
aainacareerscom,5,5,200,aainacareers.com,1,0,0,3,1
aarush-kitchens,1,1,200,Aarush Kitchens,1,0,0,0,0
aarushi-infotech,28,28,200,Aarushi Infotech,1,0,0,2,22
ace-talent-recruitment,26,26,200,Ace Talent Recruitment,1,1,0,0,0
acts-group-pf-institutions,1,1,200,ACTS Academy of Higher Education,1,0,0,0,0
adcanopus-digital-media-pvt-ltd,4,4,200,ADCanopus Digital Media Pvt. Ltd.,1,0,0,0,0
agape-business-solutions-llc,4,4,200,Agape Business Solutions LLC,1,0,0,0,0
agraga,4,4,200,Agraga,1,0,0,0,0
agramhr,3,3,200,AgramHR,1,0,0,0,2
agrizy,10,7,200,Agrizy,1,0,0,3,0
ahad-global,78,77,200,Ahad Global,1,0,0,0,0
airevo-labs,3,3,200,AIREVO LABS,1,0,0,0,2
airlink-communication-limited,1,1,200,Airlink Communication Limited,1,0,0,0,0
airmaniax-india-pvt-ltd,8,8,200,Airmaniax India Pvt Ltd,1,0,0,0,0
aisol-it,9,9,200,AiSol IT,1,0,0,9,0
aj-classic-traders-pvt-ltd,3,3,200,Aj classic Traders PVt Ltd,1,0,0,0,0
al-munsif-international,4,4,200,Al Munsif International,1,0,0,0,0
albatronix-consulting,0,6,200,Albatronix Consulting,1,0,0,0,0
alight-consultants-private-limited,1,1,200,Alight Consultants Private Limited,1,0,0,0,0
aliste-technologies,8,7,200,Aliste Technologies,1,0,0,0,1
alnatum-private-limited,1,1,200,Alnatum Private Limited,1,0,0,0,0
alpauls,20,20,200,Alpauls,1,0,0,0,0
altraize,30,29,200,ALTRAIZE,1,0,0,5,0
alvoral-private-limited,7,7,200,Alvoral Private Limited,1,0,0,0,0
ammo,4,4,200,Ammo,1,1,0,4,0
amnic,2,1,200,Amnic Technologies Private Limited,1,0,0,0,0
ana-reis-headhunter,1,1,200,Ana Reis - Headhunter,1,0,0,0,1
anddonehair,9,9,200,&Done,1,0,0,0,0
anglara-digital-solutions,0,0,200,Anglara Digital Solutions,0,1,0,0,0
anitz-hr-services,6,5,200,Alphaspec Consulting LLP,1,0,0,0,0
antinorm,1,1,200,Antinorm,1,0,0,0,0
apex-one,7,3,200,Apex One,1,0,0,1,2
applocum-international,1,1,200,ADDVantage Digital Solutions,1,0,0,0,0
apsona-technologies-india-pvt-ltd,2,2,200,Apsona Technologies India Pvt Ltd,1,0,0,1,1
arab-solutions,15,15,200,Arab Solutions,1,0,0,6,0
arch-staffing-solution,0,0,200,Arch Staffing Solution,0,1,0,0,0
arcohes,4,4,200,Arcohes,1,0,0,0,0
ariqt-international,10,10,200,Ariqt International,1,1,0,0,0
aristok-technologies,14,12,200,Aristok Technologies,1,0,0,0,0
arohana-tech-solutions-private-limited,39,38,200,Arohana Tech Solutions Private Limited,1,0,0,2,12
art-technology-and-software-india-pvt-ltd,24,18,200,Art Technology and Software India Pvt Ltd,1,0,5,8,1
artha-energy-resoures,15,15,200,Artha Energy Resoures,1,1,0,2,2
artha-nexgen,1,1,200,Artha Nexgen,1,0,0,0,0
asia-plastics,3,3,200,Asia plastics,1,0,0,0,0
aspiradiagnostics,5,5,200,Aspira Pathlab &amp; Diagnostics Ltd,1,0,0,0,0
at-dawn-technologies,11,10,200,At Dawn Technologies,1,0,0,0,4
atharv-consultings,4,4,200,Atharv Consultings,1,0,0,1,0
atlantico-services,7,7,200,Atlantico Services,1,0,0,1,0
atms-co-llp,10,10,200,ATMS & CO LLP,1,0,0,0,0
atoz-virtual,5,4,200,atoz virtual,1,0,0,0,0
aurassure-private-limited,10,10,200,Aurassure Private Limited,1,0,0,0,1
aurona,1,1,200,Aurona,1,0,0,1,0
auslink,3,3,200,Auslink,1,0,0,0,0
avalon-event-fabrics,2,2,200,Avalon event Fabrics,1,0,0,0,0
avia-technologies,9,9,200,Avia Technologies,1,0,0,0,0
avp-vigilant-technology-pvt-ltd,10,10,200,AVP Vigilant Technology Pvt Ltd,1,0,0,0,0
award-global,16,15,200,Award Global,1,0,0,1,1
ayfiz-absolutes,9,9,200,Ayfiz Absolutes,1,0,0,0,0
bayfield-food-ingredients,1,1,200,Bayfield Food Ingredients,1,1,0,0,0
bc-web-wise-pvt-ltd,9,8,200,BC Web Wise Pvt Ltd,1,0,0,0,0
beet,1,1,200,Beet.Health,1,0,0,1,0
belen-network,6,6,200,BELEN Network,1,0,0,2,0
beyond-border-consultants,10,10,200,Beyond Border Consultants,1,0,0,2,0
bhanzu,10,8,200,Bhanzu,1,0,2,1,0
bharat-growth-agency,6,6,200,Bharat Growth Agency,1,0,0,0,0
bigleap,1,1,200,Big Leap Digital Services Pvt. Ltd.,1,0,0,0,0
bigmint-technologies-private-limited,19,19,200,BigMint Technologies Private Limited,1,0,0,0,0
bilow-recruituing-agency,1,1,200,Bilow recruiting agency,1,0,0,0,0
biogentek,2,2,200,Biogentek,1,0,0,0,2
bitcoin-devs-company,0,0,200,Bitcoin Devs Company,0,1,0,0,0
bitech-middle-east-on-demand-bitech-international,1,1,200,Bitech Middle East On Demand (Bitech International),1,0,0,0,0
bitespeed,21,21,200,BiteSpeed,1,0,0,0,0
bitsbody,2,2,200,BitsBody,1,1,0,0,2
blinkdigital,2,2,200,blinkdigital,1,0,0,0,1
blockly-technologies-pvt-ltd,3,3,200,Blockly Technologies Pvt Ltd,1,0,0,3,0
bloomfieldx-data-analytics-pvt-ltd,2,2,200,Bloomfieldx Analytics Private Limited,1,0,0,1,0
bluelupin-technologies-private-limited,0,0,200,Bluelupin Technologies Private Limited,0,1,0,0,0
blueprint-solutions,7,4,200,Blueprint Solutions,1,0,3,7,0
blumetra,3,2,200,Blumetra,1,1,0,0,3
born-west-private-limited,2,2,200,Born West Private Limited,1,0,0,2,0
botup-technologies-pvt-ltd,7,7,200,Botup Technologies Pvt ltd,1,0,0,1,6
brainybuzz-solution-pvt-ltd,6,5,200,BrainyBuzz Digital,1,0,0,2,1
brandmovers-india,8,8,200,Brandmovers India,1,0,0,0,0
brelex-media,2,2,200,Brelex Media,1,0,0,2,0
bright-tier-solutions,22,22,200,Bright Tier Solutions,1,0,0,21,1
bro-reclutamiento-humano,6,6,200,Bro— Reclutamiento Humano,1,0,0,0,0
brothers-pictures,1,1,200,Brothers Pictures,1,1,0,0,0
buconsultants,35,35,200,BU Consultants,1,0,0,13,0
buildsuite,0,0,200,Buildsuite,0,1,0,0,0
byg-ventures-llp,5,5,200,Byg Ventures LLP,1,0,0,0,0
bynry,5,5,200,Bynry,1,0,0,1,4
c-net-infotech-pvt-ltd,0,0,200,C-Net Infotech Pvt Ltd,0,1,0,0,0
capawoke,1,1,200,Capawoke,1,0,0,0,0
capital-brix-1,3,3,200,capital brix,1,0,0,0,0
capitalvia,12,10,200,BellCurve,1,0,0,0,0
career-elevators,8,8,200,Career Elevators,1,0,0,4,1
career-one-stop,51,51,200,Career One Stop,1,0,0,35,2
career-portal,15,15,200,Career Portal,1,0,0,14,0
careerbloc,10,10,200,Careerbloc,1,0,0,2,0
careerconnects,23,23,200,Careerconnects,1,0,0,0,2
careernet-technologies-pvt-ltd,0,0,200,Careernet Technologies Pvt Ltd,0,1,0,0,0
careers-at-aifa-labs,9,9,200,Careers at AiFA Labs,1,0,0,2,3
careers-panorama-personnel-consultant-pvt-ltd,1,1,200,Careers Panorama Personnel Consultant Pvt Ltd,1,0,0,1,0
careersecure-eduversity,3,3,200,CareerSecure Private Limited,1,0,0,0,0
cargofl,4,3,200,CargoFL,1,0,0,0,2
carinfo,7,5,200,CarInfo,1,0,0,0,0
caring-hands-staffing,7,6,200,Caring Hands Staffing,1,0,0,0,1
causematch,0,0,200,CauseMatch,0,1,0,0,0
cayley,1,1,200,Cayley,1,0,0,0,0
certree,1,1,200,Certree,1,0,0,1,0
cgvak-software-and-exports-limited,1,1,200,CGvak Software Exports,1,0,0,0,0
chavda-infra-limited,3,1,200,Chavda Infra Limited,1,0,1,0,0
chimplab-advertising-inc,3,3,200,Chimplab Advertising Inc,1,0,0,0,0
claroda,6,5,200,Claroda,1,0,0,6,0
